" Daily soil water balance output for Native Vegetation in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Native Vegetation in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","15010.294383","0.1","0.3","0.0","3.42","0.3","1.026","1.57","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","15010.294383","104.99","42.1819","2077.30556639"
"2015.0","10.0","2.0","275.0","15010.294383","0.1","0.3","0.0","4.25","0.3","1.275","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","15010.294383","47.39","48.029","2365.25403189"
"2015.0","10.0","3.0","276.0","15010.294383","0.1","0.31","0.0","4.27","0.31","1.3237","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","15010.294383","32.46","36.7895","1811.74942652"
"2015.0","10.0","4.0","277.0","15010.294383","0.1","0.32","0.0","3.51","0.32","1.1232","0.12","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","15010.294383","33.4","38.9543","1918.35797403"
"2015.0","10.0","5.0","278.0","15010.294383","0.1","0.32","0.0","3.33","0.32","1.0656","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","15010.294383","59.76","61.415","3024.46597615"
"2015.0","10.0","6.0","279.0","15010.294383","0.1","0.33","0.0","3.34","0.33","1.1022","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","15010.294383","82.02","85.2337","4197.45055234"
"2015.0","10.0","7.0","280.0","15010.294383","0.1","0.34","0.0","3.38","0.34","1.1492","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","15010.294383","126.68","115.1308","5669.77428002"
"2015.0","10.0","8.0","281.0","15010.294383","0.1","0.35","0.0","3.49","0.35","1.2215","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","15010.294383","156.45","108.745","5355.29679357"
"2015.0","10.0","9.0","282.0","15010.294383","0.1","0.35","0.0","4.25","0.35","1.4875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","15010.294383","198.24","99.0851","4879.58175843"
"2015.0","10.0","10.0","283.0","15010.294383","0.1","0.36","0.0","3.98","0.36","1.4328","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","15010.294383","206.09","79.062","3893.51671427"
"2015.0","10.0","11.0","284.0","15010.294383","0.1","0.37","0.0","3.65","0.37","1.3505","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","15010.294383","182.12","63.7935","3141.5984735"
"2015.0","10.0","12.0","285.0","15010.294383","0.1","0.38","0.0","3.66","0.38","1.3908","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","15010.294383","137.31","43.6535","2149.77652837"
"2015.0","10.0","13.0","286.0","15010.294383","0.1","0.38","0.0","4.1","0.38","1.558","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","15010.294383","0.1","0.39","0.0","4.16","0.39","1.6224","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
