" Daily soil water balance output for Native Vegetation in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Native Vegetation in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","21629.8666755","0.1","0.3","0.0","3.44","0.3","1.032","1.21","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","21629.8666755","105.33","42.3178","3003.0458399"
"2015.0","10.0","2.0","275.0","21629.8666755","0.1","0.3","0.0","4.29","0.3","1.287","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","21629.8666755","47.38","48.0424","3409.28709571"
"2015.0","10.0","3.0","276.0","21629.8666755","0.1","0.31","0.0","4.29","0.31","1.3299","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","21629.8666755","32.3","36.6102","2598.01097429"
"2015.0","10.0","4.0","277.0","21629.8666755","0.1","0.32","0.0","3.53","0.32","1.1296","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","21629.8666755","33.33","38.8701","2758.38281058"
"2015.0","10.0","5.0","278.0","21629.8666755","0.1","0.32","0.0","3.35","0.32","1.072","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","21629.8666755","59.7","61.3466","4353.40806757"
"2015.0","10.0","6.0","279.0","21629.8666755","0.1","0.33","0.0","3.35","0.33","1.1055","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","21629.8666755","81.66","84.8368","6020.36966265"
"2015.0","10.0","7.0","280.0","21629.8666755","0.1","0.34","0.0","3.37","0.34","1.1458","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","21629.8666755","127.34","115.718","8211.82713896"
"2015.0","10.0","8.0","281.0","21629.8666755","0.1","0.35","0.0","3.48","0.35","1.218","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","21629.8666755","157.51","109.4828","7769.35159862"
"2015.0","10.0","9.0","282.0","21629.8666755","0.1","0.35","0.0","4.25","0.35","1.4875","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","21629.8666755","199.92","99.9132","7090.25326484"
"2015.0","10.0","10.0","283.0","21629.8666755","0.1","0.36","0.0","4.0","0.36","1.44","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","21629.8666755","208.58","80.0174","5678.36513688"
"2015.0","10.0","11.0","284.0","21629.8666755","0.1","0.37","0.0","3.66","0.37","1.3542","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","21629.8666755","184.25","64.5409","4580.08878647"
"2015.0","10.0","12.0","285.0","21629.8666755","0.1","0.38","0.0","3.67","0.38","1.3946","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","21629.8666755","138.41","44.0038","3122.69136226"
"2015.0","10.0","13.0","286.0","21629.8666755","0.1","0.38","0.0","4.1","0.38","1.558","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","21629.8666755","0.1","0.39","0.0","4.19","0.39","1.6341","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
