" Daily soil water balance output for Native Vegetation in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Native Vegetation in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","13683.2664015","0.08","0.3","0.0","3.74","0.3","1.122","0.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","13683.2664015","109.59","44.0114","1975.78645309"
"2015.0","10.0","2.0","275.0","13683.2664015","0.08","0.3","0.0","4.66","0.3","1.398","0.01","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","13683.2664015","47.06","48.5409","2179.12751335"
"2015.0","10.0","3.0","276.0","13683.2664015","0.08","0.31","0.0","4.59","0.31","1.4229","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","13683.2664015","31.78","35.9834","1615.38860968"
"2015.0","10.0","4.0","277.0","13683.2664015","0.08","0.32","0.0","3.72","0.32","1.1904","0.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","13683.2664015","33.95","38.9544","1748.76454301"
"2015.0","10.0","5.0","278.0","13683.2664015","0.08","0.32","0.0","3.47","0.32","1.1104","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","13683.2664015","60.36","61.6751","2768.75598307"
"2015.0","10.0","6.0","279.0","13683.2664015","0.08","0.33","0.0","3.51","0.33","1.1583","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","13683.2664015","82.59","85.4489","3836.02382682"
"2015.0","10.0","7.0","280.0","13683.2664015","0.08","0.34","0.0","3.39","0.34","1.1526","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","13683.2664015","131.18","120.9352","5429.09632191"
"2015.0","10.0","8.0","281.0","13683.2664015","0.08","0.35","0.0","3.49","0.35","1.2215","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","13683.2664015","165.11","114.8236","5154.73066922"
"2015.0","10.0","9.0","282.0","13683.2664015","0.08","0.35","0.0","4.26","0.35","1.491","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","13683.2664015","207.79","103.8753","4663.23294762"
"2015.0","10.0","10.0","283.0","13683.2664015","0.08","0.36","0.0","4.28","0.36","1.5408","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","13683.2664015","222.59","85.3816","3833.00255442"
"2015.0","10.0","11.0","284.0","13683.2664015","0.08","0.37","0.0","3.78","0.37","1.3986","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","13683.2664015","198.12","69.403","3115.68155533"
"2015.0","10.0","12.0","285.0","13683.2664015","0.08","0.38","0.0","3.84","0.38","1.4592","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","13683.2664015","145.14","46.1359","2071.16079519"
"2015.0","10.0","13.0","286.0","13683.2664015","0.08","0.38","0.0","4.18","0.38","1.5884","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","13683.2664015","0.08","0.39","0.0","4.31","0.39","1.6809","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
