" Daily soil water balance output for Native Vegetation in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Native Vegetation in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","15629.440671","0.08","0.3","0.0","3.64","0.3","1.092","0.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","15629.440671","106.82","42.8948","2199.54636383"
"2015.0","10.0","2.0","275.0","15629.440671","0.08","0.3","0.0","4.52","0.3","1.356","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","15629.440671","47.32","45.1773","2316.58769694"
"2015.0","10.0","3.0","276.0","15629.440671","0.08","0.31","0.0","4.41","0.31","1.3671","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","15629.440671","31.12","35.0998","1799.83675087"
"2015.0","10.0","4.0","277.0","15629.440671","0.08","0.32","0.0","3.7","0.32","1.184","0.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","15629.440671","32.7","37.551","1925.5286307"
"2015.0","10.0","5.0","278.0","15629.440671","0.08","0.32","0.0","3.42","0.32","1.0944","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","15629.440671","58.53","59.8256","3067.71871984"
"2015.0","10.0","6.0","279.0","15629.440671","0.08","0.33","0.0","3.43","0.33","1.1319","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","15629.440671","80.22","82.9306","4252.48980482"
"2015.0","10.0","7.0","280.0","15629.440671","0.08","0.34","0.0","3.33","0.34","1.1322","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","15629.440671","128.97","116.7516","5986.75264253"
"2015.0","10.0","8.0","281.0","15629.440671","0.08","0.35","0.0","3.4","0.35","1.19","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","15629.440671","160.04","111.2481","5704.54586191"
"2015.0","10.0","9.0","282.0","15629.440671","0.08","0.35","0.0","4.14","0.35","1.449","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","15629.440671","198.49","99.1955","5086.51634541"
"2015.0","10.0","10.0","283.0","15629.440671","0.08","0.36","0.0","4.04","0.36","1.4544","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","15629.440671","210.67","80.8097","4143.73494682"
"2015.0","10.0","11.0","284.0","15629.440671","0.08","0.37","0.0","3.64","0.37","1.3468","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","15629.440671","185.67","65.0442","3335.31648587"
"2015.0","10.0","12.0","285.0","15629.440671","0.08","0.38","0.0","3.73","0.38","1.4174","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","15629.440671","139.09","44.2139","2267.18676799"
"2015.0","10.0","13.0","286.0","15629.440671","0.08","0.38","0.0","4.07","0.38","1.5466","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","15629.440671","0.08","0.39","0.0","4.25","0.39","1.6575","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
