" Daily soil water balance output for Other Deciduous in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Other Deciduous at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","3.78","0.09","0.8","0.0","3.46","0.8","2.77","2.43","2.43","0.0","0.0","23.19","76.81","307.24","153.62","284.04","230.43","0.0","","2015.0","10.0","3.78","105.07","84.06","1.04247637795"
"2015.0","10.0","2.0","275.0","3.78","0.09","0.8","0.0","4.19","0.8","3.35","0.0","0.0","0.0","0.0","26.55","76.81","307.24","153.62","280.69","230.43","0.0","","2015.0","11.0","3.78","47.51","48.77","0.60482480315"
"2015.0","10.0","3.0","276.0","3.78","0.09","0.8","0.0","4.26","0.8","3.41","0.0","0.0","0.0","0.0","29.95","76.81","307.24","153.62","277.28","230.43","0.0","","2015.0","12.0","3.78","32.91","37.24","0.461834645669"
"2015.0","10.0","4.0","277.0","3.78","0.09","0.8","0.0","3.51","0.8","2.81","0.0","0.0","0.0","0.0","32.76","76.81","307.24","153.62","274.48","230.43","0.0","","2016.0","1.0","3.78","33.63","39.11","0.485025590551"
"2015.0","10.0","5.0","278.0","3.78","0.09","0.8","0.0","3.33","0.8","2.66","0.0","0.0","0.0","0.0","35.43","76.81","307.24","153.62","271.81","230.43","0.0","","2016.0","2.0","3.78","60.32","43.49","0.539344488189"
"2015.0","10.0","6.0","279.0","3.78","0.09","0.8","0.0","3.33","0.8","2.66","0.0","0.0","0.0","0.0","38.09","76.81","307.24","153.62","269.15","230.43","0.0","","2016.0","3.0","3.78","82.48","60.61","0.751659448819"
"2015.0","10.0","7.0","280.0","3.78","0.09","0.8","0.0","3.41","0.8","2.73","0.0","0.0","0.0","0.0","40.82","76.81","307.24","153.62","266.42","230.43","0.0","","2016.0","4.0","3.78","126.41","86.37","1.07112401575"
"2015.0","10.0","8.0","281.0","3.78","0.09","0.8","0.0","3.55","0.8","2.84","0.0","0.0","0.0","0.0","43.66","76.81","307.24","153.62","263.58","230.43","0.0","","2016.0","5.0","3.78","157.45","111.56","1.38351968504"
"2015.0","10.0","9.0","282.0","3.78","0.09","0.8","0.0","4.28","0.8","3.42","0.0","0.0","0.0","0.0","47.08","76.81","307.24","153.62","260.16","230.43","0.0","","2016.0","6.0","3.78","198.28","150.7","1.86891732283"
"2015.0","10.0","10.0","283.0","3.78","0.09","0.8","0.0","3.98","0.8","3.18","0.0","0.0","0.0","0.0","50.27","76.81","307.24","153.62","256.97","230.43","0.0","","2016.0","7.0","3.78","205.37","164.26","2.03708267717"
"2015.0","10.0","11.0","284.0","3.78","0.09","0.8","0.0","3.67","0.8","2.94","0.0","0.0","0.0","0.0","53.2","76.81","307.24","153.62","254.04","230.43","0.0","","2016.0","8.0","3.78","181.4","145.13","1.79984055118"
"2015.0","10.0","12.0","285.0","3.78","0.09","0.8","0.0","3.66","0.8","2.93","0.0","0.0","0.0","0.0","56.13","76.81","307.24","153.62","251.11","230.43","0.0","","2016.0","9.0","3.78","136.5","109.2","1.3542519685"
"2015.0","10.0","13.0","286.0","3.78","0.09","0.8","0.0","4.12","0.8","3.3","0.0","0.0","0.0","0.0","59.43","76.81","307.24","153.62","247.81","230.43","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","3.78","0.09","0.8","0.0","4.14","0.8","3.31","0.0","0.0","0.0","0.0","62.74","76.81","307.24","153.62","244.5","230.43","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","3.78","0.09","0.8","0.0","3.64","0.8","2.91","0.0","0.0","0.0","0.0","65.65","76.81","307.24","153.62","241.59","230.43","0.0","","","","","","",""
