" Daily soil water balance output for Other Deciduous in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Other Deciduous in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","385.19","0.08","0.96","0.0","3.76","0.96","3.61","0.31","0.31","0.0","0.0","86.37","105.25","421.01","210.51","334.65","315.76","0.0","","2015.0","10.0","385.19","109.58","97.25","122.899368438"
"2015.0","10.0","2.0","275.0","385.19","0.08","0.96","0.0","4.74","0.96","4.53","0.0","0.0","0.0","0.0","90.9","105.25","421.01","210.51","330.12","315.76","0.0","","2015.0","11.0","385.19","47.12","44.89","56.7295902231"
"2015.0","10.0","3.0","276.0","385.19","0.08","0.95","0.0","4.63","0.95","4.4","0.0","0.0","0.0","0.0","95.3","105.25","421.01","210.51","325.72","315.76","0.0","","2015.0","12.0","385.19","31.38","33.9","42.8410137795"
"2015.0","10.0","4.0","277.0","385.19","0.08","0.95","0.0","3.8","0.95","3.59","2.04","2.04","0.0","0.0","96.85","105.25","421.01","210.51","324.16","315.76","0.0","","2016.0","1.0","385.19","33.5","37.43","47.3020396982"
"2015.0","10.0","5.0","278.0","385.19","0.08","0.94","0.0","3.49","0.94","3.28","0.0","0.0","0.0","0.0","100.13","105.25","421.01","210.51","320.88","315.76","0.0","","2016.0","2.0","385.19","59.83","44.27","55.9460672572"
"2015.0","10.0","6.0","279.0","385.19","0.08","0.93","0.0","3.52","0.93","3.29","0.0","0.0","0.0","0.0","103.42","105.25","421.01","210.51","317.59","315.76","0.0","","2016.0","3.0","385.19","81.79","54.75","69.190132874"
"2015.0","10.0","7.0","280.0","385.19","0.08","0.93","0.0","3.34","0.93","3.11","0.0","0.0","0.0","0.0","0.0","105.25","421.01","210.51","421.01","315.76","106.53","","2016.0","4.0","385.19","131.53","76.7","96.9293733596"
"2015.0","10.0","8.0","281.0","385.19","0.08","0.92","0.0","3.43","0.92","3.17","0.0","0.0","0.0","0.0","3.17","105.25","421.01","210.51","417.84","315.76","0.0","","2016.0","5.0","385.19","165.62","122.57","154.897435367"
"2015.0","10.0","9.0","282.0","385.19","0.08","0.92","0.0","4.18","0.92","3.84","0.0","0.0","0.0","0.0","7.01","105.25","421.01","210.51","414.0","315.76","0.0","","2016.0","6.0","385.19","206.91","189.48","239.454728346"
"2015.0","10.0","10.0","283.0","385.19","0.08","0.91","0.0","4.26","0.91","3.89","0.0","0.0","0.0","0.0","10.91","105.25","421.01","210.51","410.1","315.76","0.0","","2016.0","7.0","385.19","222.8","235.65","297.80191437"
"2015.0","10.0","11.0","284.0","385.19","0.08","0.91","0.0","3.74","0.91","3.4","0.0","0.0","0.0","0.0","14.31","105.25","421.01","210.51","406.7","315.76","0.0","","2016.0","8.0","385.19","197.3","211.1","266.776932415"
"2015.0","10.0","12.0","285.0","385.19","0.08","0.9","0.0","3.84","0.9","3.47","0.0","0.0","0.0","0.0","17.78","105.25","421.01","210.51","403.23","315.76","0.0","","2016.0","9.0","385.19","144.78","149.64","189.107059055"
"2015.0","10.0","13.0","286.0","385.19","0.08","0.9","0.0","4.14","0.9","3.72","0.0","0.0","0.0","0.0","21.5","105.25","421.01","210.51","399.51","315.76","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","385.19","0.08","0.89","0.0","4.29","0.89","3.83","0.0","0.0","0.0","0.0","25.33","105.25","421.01","210.51","395.68","315.76","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","385.19","0.08","0.89","0.0","3.77","0.89","3.35","0.0","0.0","0.0","0.0","28.68","105.25","421.01","210.51","392.33","315.76","0.0","","","","","","",""
