" Daily soil water balance output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","5695.75","0.08","0.95","0.0","3.59","0.95","3.41","2.27","2.27","0.0","0.0","29.62","57.61","241.4","120.7","211.78","183.79","0.0","","2015.0","10.0","5695.75","108.2","102.81","1921.19441437"
"2015.0","10.0","2.0","275.0","5695.75","0.08","0.95","0.0","4.41","0.95","4.19","0.36","0.36","0.0","0.0","33.45","57.61","241.4","120.7","207.95","183.79","0.0","","2015.0","11.0","5695.75","47.2","50.39","941.630060696"
"2015.0","10.0","3.0","276.0","5695.75","0.08","0.95","0.0","4.46","0.95","4.24","0.0","0.0","0.0","0.0","37.69","57.61","241.4","120.7","203.71","183.79","0.0","","2015.0","12.0","5695.75","32.8","37.6","702.625328084"
"2015.0","10.0","4.0","277.0","5695.75","0.08","0.95","0.0","3.55","0.95","3.37","0.41","0.41","0.0","0.0","40.65","57.61","241.4","120.7","200.75","183.79","0.0","","2016.0","1.0","5695.75","34.3","39.6","739.999015748"
"2015.0","10.0","5.0","278.0","5695.75","0.08","0.95","0.0","3.41","0.95","3.24","0.0","0.0","0.0","0.0","43.89","57.61","241.4","120.7","197.51","183.79","0.0","","2016.0","2.0","5695.75","60.9","59.5","1111.86720801"
"2015.0","10.0","6.0","279.0","5695.75","0.08","0.95","0.0","3.44","0.95","3.27","0.0","0.0","0.0","0.0","47.16","57.61","241.4","120.7","194.24","183.79","0.0","","2016.0","3.0","5695.75","83.8","83.58","1561.84640748"
"2015.0","10.0","7.0","280.0","5695.75","0.08","0.95","0.0","3.44","0.95","3.27","0.0","0.0","0.0","0.0","50.43","57.61","241.4","120.7","190.98","183.79","0.0","","2016.0","4.0","5695.75","130.55","125.67","2348.37566437"
"2015.0","10.0","8.0","281.0","5695.75","0.08","0.95","0.0","3.53","0.95","3.35","0.0","0.0","0.0","0.0","53.78","57.61","241.4","120.7","187.62","183.79","0.0","","2016.0","5.0","5695.75","164.12","156.86","2931.21832349"
"2015.0","10.0","9.0","282.0","5695.75","0.08","0.95","0.0","4.37","0.95","4.15","0.0","0.0","0.0","0.0","0.0","57.61","241.4","120.7","241.4","183.79","57.93","","2016.0","6.0","5695.75","209.37","198.89","3716.62636975"
"2015.0","10.0","10.0","283.0","5695.75","0.08","0.95","0.0","4.22","0.95","4.01","0.0","0.0","0.0","0.0","4.01","57.61","241.4","120.7","237.39","183.79","0.0","","2016.0","7.0","5695.75","219.93","208.94","3904.42915026"
"2015.0","10.0","11.0","284.0","5695.75","0.08","0.95","0.0","3.82","0.95","3.63","0.0","0.0","0.0","0.0","7.64","57.61","241.4","120.7","233.76","183.79","0.0","","2016.0","8.0","5695.75","194.47","184.78","3452.95500328"
"2015.0","10.0","12.0","285.0","5695.75","0.08","0.95","0.0","3.76","0.95","3.57","0.0","0.0","0.0","0.0","11.21","57.61","241.4","120.7","230.19","183.79","0.0","","2016.0","9.0","5695.75","143.12","135.98","2541.03702428"
"2015.0","10.0","13.0","286.0","5695.75","0.08","0.95","0.0","4.18","0.95","3.97","0.0","0.0","0.0","0.0","15.18","57.61","241.4","120.7","226.22","183.79","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","5695.75","0.08","0.95","0.0","4.25","0.95","4.04","0.0","0.0","0.0","0.0","19.22","57.61","241.4","120.7","222.18","183.79","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","5695.75","0.08","0.95","0.0","3.81","0.95","3.62","0.0","0.0","0.0","0.0","22.84","57.61","241.4","120.7","218.56","183.79","0.0","","","","","","",""
