" Daily soil water balance output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pasture in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","8087.82","0.08","0.95","0.0","3.76","0.95","3.57","0.31","0.31","0.0","0.0","0.0","47.43","201.17","100.58","201.17","153.74","47.77","","2015.0","10.0","8087.82","109.58","104.1","2762.2771063"
"2015.0","10.0","2.0","275.0","8087.82","0.08","0.95","0.0","4.74","0.95","4.5","0.0","0.0","0.0","0.0","4.5","47.43","201.17","100.58","196.67","153.74","0.0","","2015.0","11.0","8087.82","47.12","49.17","1304.71820669"
"2015.0","10.0","3.0","276.0","8087.82","0.08","0.95","0.0","4.63","0.95","4.4","0.0","0.0","0.0","0.0","8.9","47.43","201.17","100.58","192.27","153.74","0.0","","2015.0","12.0","8087.82","31.38","35.3","936.679940945"
"2015.0","10.0","4.0","277.0","8087.82","0.08","0.95","0.0","3.8","0.95","3.61","2.04","2.04","0.0","0.0","10.47","47.43","201.17","100.58","190.7","153.74","0.0","","2016.0","1.0","8087.82","33.5","38.2","1013.63098425"
"2015.0","10.0","5.0","278.0","8087.82","0.08","0.95","0.0","3.49","0.95","3.32","0.0","0.0","0.0","0.0","13.79","47.43","201.17","100.58","187.38","153.74","0.0","","2016.0","2.0","8087.82","59.83","58.77","1559.45269488"
"2015.0","10.0","6.0","279.0","8087.82","0.08","0.95","0.0","3.52","0.95","3.34","0.0","0.0","0.0","0.0","17.13","47.43","201.17","100.58","184.04","153.74","0.0","","2016.0","3.0","8087.82","81.79","81.47","2161.79362008"
"2015.0","10.0","7.0","280.0","8087.82","0.08","0.95","0.0","3.34","0.95","3.17","0.0","0.0","0.0","0.0","20.3","47.43","201.17","100.58","180.86","153.74","0.0","","2016.0","4.0","8087.82","131.53","126.33","3352.14665551"
"2015.0","10.0","8.0","281.0","8087.82","0.08","0.95","0.0","3.43","0.95","3.26","0.0","0.0","0.0","0.0","23.56","47.43","201.17","100.58","177.61","153.74","0.0","","2016.0","5.0","8087.82","165.62","157.33","4174.72677362"
"2015.0","10.0","9.0","282.0","8087.82","0.08","0.95","0.0","4.18","0.95","3.97","0.0","0.0","0.0","0.0","27.53","47.43","201.17","100.58","173.63","153.74","0.0","","2016.0","6.0","8087.82","206.91","196.57","5215.95399409"
"2015.0","10.0","10.0","283.0","8087.82","0.08","0.95","0.0","4.26","0.95","4.05","0.0","0.0","0.0","0.0","31.58","47.43","201.17","100.58","169.59","153.74","0.0","","2016.0","7.0","8087.82","222.8","211.63","5615.56872244"
"2015.0","10.0","11.0","284.0","8087.82","0.08","0.95","0.0","3.74","0.95","3.55","0.0","0.0","0.0","0.0","35.13","47.43","201.17","100.58","166.03","153.74","0.0","","2016.0","8.0","8087.82","197.3","187.43","4973.42553346"
"2015.0","10.0","12.0","285.0","8087.82","0.08","0.95","0.0","3.84","0.95","3.65","0.0","0.0","0.0","0.0","38.78","47.43","201.17","100.58","162.39","153.74","0.0","","2016.0","9.0","8087.82","144.78","137.52","3649.07154331"
"2015.0","10.0","13.0","286.0","8087.82","0.08","0.95","0.0","4.14","0.95","3.93","0.0","0.0","0.0","0.0","42.71","47.43","201.17","100.58","158.45","153.74","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","8087.82","0.08","0.95","0.0","4.29","0.95","4.08","0.0","0.0","0.0","0.0","46.79","47.43","201.17","100.58","154.38","153.74","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","8087.82","0.08","0.95","0.0","3.77","0.95","3.58","0.0","0.0","0.0","0.0","0.0","47.43","201.17","100.58","201.17","153.74","50.37","","","","","","",""
