" Daily soil water balance output for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Pears in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","4920.26","0.08","0.93","0.0","3.68","0.93","3.41","0.46","0.46","0.0","0.0","117.41","123.07","492.27","246.14","374.87","369.21","0.0","","2015.0","10.0","4920.26","108.61","94.37","1523.37577493"
"2015.0","10.0","2.0","275.0","4920.26","0.08","0.92","0.0","4.58","0.92","4.23","0.02","0.02","0.0","0.0","121.61","123.07","492.27","246.14","370.66","369.21","0.0","","2015.0","11.0","4920.26","47.16","48.81","787.919588583"
"2015.0","10.0","3.0","276.0","4920.26","0.08","0.92","0.0","4.53","0.92","4.16","0.0","0.0","0.0","0.0","0.0","123.07","492.27","246.14","492.27","369.21","125.78","","2015.0","12.0","4920.26","31.9","36.1","582.747329396"
"2015.0","10.0","4.0","277.0","4920.26","0.08","0.91","0.0","3.67","0.91","3.36","0.82","0.82","0.0","0.0","2.54","123.07","492.27","246.14","489.74","369.21","0.0","","2016.0","1.0","4920.26","33.72","38.94","628.592271654"
"2015.0","10.0","5.0","278.0","4920.26","0.08","0.91","0.0","3.44","0.91","3.13","0.0","0.0","0.0","0.0","5.67","123.07","492.27","246.14","486.6","369.21","0.0","","2016.0","2.0","4920.26","60.04","44.42","717.053639108"
"2015.0","10.0","6.0","279.0","4920.26","0.08","0.91","0.0","3.48","0.91","3.15","0.0","0.0","0.0","0.0","8.82","123.07","492.27","246.14","483.45","369.21","0.0","","2016.0","3.0","4920.26","82.15","55.08","889.133598425"
"2015.0","10.0","7.0","280.0","4920.26","0.08","0.9","0.0","3.38","0.9","3.05","0.0","0.0","0.0","0.0","11.87","123.07","492.27","246.14","480.4","369.21","0.0","","2016.0","4.0","4920.26","130.95","80.98","1307.22655774"
"2015.0","10.0","8.0","281.0","4920.26","0.08","0.9","0.0","3.47","0.9","3.12","0.0","0.0","0.0","0.0","14.99","123.07","492.27","246.14","477.28","369.21","0.0","","2016.0","5.0","4920.26","164.12","132.21","2134.21120276"
"2015.0","10.0","9.0","282.0","4920.26","0.08","0.89","0.0","4.25","0.89","3.8","0.0","0.0","0.0","0.0","18.79","123.07","492.27","246.14","473.48","369.21","0.0","","2016.0","6.0","4920.26","207.59","211.3","3410.92827428"
"2015.0","10.0","10.0","283.0","4920.26","0.08","0.89","0.0","4.21","0.89","3.75","0.0","0.0","0.0","0.0","22.54","123.07","492.27","246.14","469.73","369.21","0.0","","2016.0","7.0","4920.26","220.88","231.92","3743.7883832"
"2015.0","10.0","11.0","284.0","4920.26","0.08","0.89","0.0","3.76","0.89","3.33","0.0","0.0","0.0","0.0","25.87","123.07","492.27","246.14","466.4","369.21","0.0","","2016.0","8.0","4920.26","195.62","205.38","3315.36416929"
"2015.0","10.0","12.0","285.0","4920.26","0.08","0.88","0.0","3.79","0.88","3.34","0.0","0.0","0.0","0.0","29.21","123.07","492.27","246.14","463.06","369.21","0.0","","2016.0","9.0","4920.26","143.85","142.36","2298.05844357"
"2015.0","10.0","13.0","286.0","4920.26","0.08","0.88","0.0","4.16","0.88","3.65","0.0","0.0","0.0","0.0","32.87","123.07","492.27","246.14","459.41","369.21","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","4920.26","0.08","0.87","0.0","4.3","0.87","3.76","0.0","0.0","0.0","0.0","36.62","123.07","492.27","246.14","455.65","369.21","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","4920.26","0.08","0.87","0.0","3.77","0.87","3.28","0.0","0.0","0.0","0.0","39.9","123.07","492.27","246.14","452.37","369.21","0.0","","","","","","",""
