" Daily soil water balance output for Pears in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Pears in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","257.76","0.08","0.92","0.0","3.66","0.92","3.39","0.47","0.47","0.0","0.0","104.16","113.61","454.45","227.22","350.29","340.84","0.0","","2015.0","10.0","257.76","107.84","93.63","79.180015748"
"2015.0","10.0","2.0","275.0","257.76","0.08","0.92","0.0","4.58","0.92","4.22","0.0","0.0","0.0","0.0","108.38","113.61","454.45","227.22","346.07","340.84","0.0","","2015.0","11.0","257.76","47.31","44.77","37.8606141732"
"2015.0","10.0","3.0","276.0","257.76","0.08","0.92","0.0","4.49","0.92","4.12","0.0","0.0","0.0","0.0","112.5","113.61","454.45","227.22","341.95","340.84","0.0","","2015.0","12.0","257.76","31.35","34.63","29.2855275591"
"2015.0","10.0","4.0","277.0","257.76","0.08","0.91","0.0","3.72","0.91","3.4","0.83","0.83","0.0","0.0","0.0","113.61","454.45","227.22","454.45","340.84","115.06","","2016.0","1.0","257.76","33.06","37.62","31.8140787402"
"2015.0","10.0","5.0","278.0","257.76","0.08","0.91","0.0","3.44","0.91","3.13","0.0","0.0","0.0","0.0","3.13","113.61","454.45","227.22","451.32","340.84","0.0","","2016.0","2.0","257.76","59.04","43.89","37.1164251969"
"2015.0","10.0","6.0","279.0","257.76","0.08","0.9","0.0","3.47","0.9","3.14","0.0","0.0","0.0","0.0","6.27","113.61","454.45","227.22","448.18","340.84","0.0","","2016.0","3.0","257.76","80.87","54.31","45.9282992126"
"2015.0","10.0","7.0","280.0","257.76","0.08","0.9","0.0","3.33","0.9","3.0","0.0","0.0","0.0","0.0","9.27","113.61","454.45","227.22","445.18","340.84","0.0","","2016.0","4.0","257.76","130.44","73.72","62.3427401575"
"2015.0","10.0","8.0","281.0","257.76","0.08","0.9","0.0","3.41","0.9","3.06","0.0","0.0","0.0","0.0","12.32","113.61","454.45","227.22","442.13","340.84","0.0","","2016.0","5.0","257.76","162.51","131.58","111.273165354"
"2015.0","10.0","9.0","282.0","257.76","0.08","0.89","0.0","4.18","0.89","3.73","0.0","0.0","0.0","0.0","16.06","113.61","454.45","227.22","438.39","340.84","0.0","","2016.0","6.0","257.76","202.95","206.7","174.79984252"
"2015.0","10.0","10.0","283.0","257.76","0.08","0.89","0.0","4.12","0.89","3.66","0.0","0.0","0.0","0.0","19.72","113.61","454.45","227.22","434.73","340.84","0.0","","2016.0","7.0","257.76","216.37","227.19","192.127606299"
"2015.0","10.0","11.0","284.0","257.76","0.08","0.88","0.0","3.68","0.88","3.26","0.0","0.0","0.0","0.0","22.97","113.61","454.45","227.22","431.48","340.84","0.0","","2016.0","8.0","257.76","191.21","200.75","169.768110236"
"2015.0","10.0","12.0","285.0","257.76","0.08","0.88","0.0","3.76","0.88","3.31","0.0","0.0","0.0","0.0","26.28","113.61","454.45","227.22","428.17","340.84","0.0","","2016.0","9.0","257.76","141.73","139.86","118.275307087"
"2015.0","10.0","13.0","286.0","257.76","0.08","0.88","0.0","4.1","0.88","3.59","0.0","0.0","0.0","0.0","29.88","113.61","454.45","227.22","424.57","340.84","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","257.76","0.08","0.87","0.0","4.27","0.87","3.73","0.0","0.0","0.0","0.0","33.6","113.61","454.45","227.22","420.85","340.84","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","257.76","0.08","0.87","0.0","3.73","0.87","3.24","0.0","0.0","0.0","0.0","36.84","113.61","454.45","227.22","417.61","340.84","0.0","","","","","","",""
