" Daily soil water balance output for Pears in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Pears in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","346.71","0.08","0.92","0.0","3.76","0.92","3.48","0.31","0.31","0.0","0.0","76.95","105.25","421.01","210.51","344.06","315.76","0.0","","2015.0","10.0","346.71","109.58","95.14","108.22175"
"2015.0","10.0","2.0","275.0","346.71","0.08","0.92","0.0","4.74","0.92","4.37","0.0","0.0","0.0","0.0","81.31","105.25","421.01","210.51","339.7","315.76","0.0","","2015.0","11.0","346.71","47.12","44.89","51.062375"
"2015.0","10.0","3.0","276.0","346.71","0.08","0.92","0.0","4.63","0.92","4.25","0.0","0.0","0.0","0.0","85.56","105.25","421.01","210.51","335.45","315.76","0.0","","2015.0","12.0","346.71","31.38","33.9","38.56125"
"2015.0","10.0","4.0","277.0","346.71","0.08","0.91","0.0","3.8","0.91","3.47","2.04","2.04","0.0","0.0","86.99","105.25","421.01","210.51","334.02","315.76","0.0","","2016.0","1.0","346.71","33.5","37.43","42.576625"
"2015.0","10.0","5.0","278.0","346.71","0.08","0.91","0.0","3.49","0.91","3.17","0.0","0.0","0.0","0.0","90.16","105.25","421.01","210.51","330.85","315.76","0.0","","2016.0","2.0","346.71","59.83","44.27","50.357125"
"2015.0","10.0","6.0","279.0","346.71","0.08","0.9","0.0","3.52","0.9","3.19","0.0","0.0","0.0","0.0","93.35","105.25","421.01","210.51","327.67","315.76","0.0","","2016.0","3.0","346.71","81.79","54.75","62.278125"
"2015.0","10.0","7.0","280.0","346.71","0.08","0.9","0.0","3.34","0.9","3.01","0.0","0.0","0.0","0.0","96.36","105.25","421.01","210.51","324.66","315.76","0.0","","2016.0","4.0","346.71","131.53","77.71","88.395125"
"2015.0","10.0","8.0","281.0","346.71","0.08","0.9","0.0","3.43","0.9","3.08","0.0","0.0","0.0","0.0","99.43","105.25","421.01","210.51","321.58","315.76","0.0","","2016.0","5.0","346.71","165.62","134.04","152.4705"
"2015.0","10.0","9.0","282.0","346.71","0.08","0.89","0.0","4.18","0.89","3.73","0.0","0.0","0.0","0.0","103.16","105.25","421.01","210.51","317.85","315.76","0.0","","2016.0","6.0","346.71","206.91","210.65","239.614375"
"2015.0","10.0","10.0","283.0","346.71","0.08","0.89","0.0","4.26","0.89","3.79","0.0","0.0","0.0","0.0","0.0","105.25","421.01","210.51","421.01","315.76","106.95","","2016.0","7.0","346.71","222.8","233.97","266.140875"
"2015.0","10.0","11.0","284.0","346.71","0.08","0.88","0.0","3.74","0.88","3.31","0.0","0.0","0.0","0.0","3.31","105.25","421.01","210.51","417.71","315.76","0.0","","2016.0","8.0","346.71","197.3","207.15","235.633125"
"2015.0","10.0","12.0","285.0","346.71","0.08","0.88","0.0","3.84","0.88","3.38","0.0","0.0","0.0","0.0","6.69","105.25","421.01","210.51","414.32","315.76","0.0","","2016.0","9.0","346.71","144.78","142.84","162.4805"
"2015.0","10.0","13.0","286.0","346.71","0.08","0.88","0.0","4.14","0.88","3.63","0.0","0.0","0.0","0.0","10.32","105.25","421.01","210.51","410.69","315.76","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","346.71","0.08","0.87","0.0","4.29","0.87","3.74","0.0","0.0","0.0","0.0","14.06","105.25","421.01","210.51","406.95","315.76","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","346.71","0.08","0.87","0.0","3.77","0.87","3.27","0.0","0.0","0.0","0.0","17.34","105.25","421.01","210.51","403.68","315.76","0.0","","","","","","",""
