" Daily soil water balance output for Pistachios in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pistachios in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","46.26","0.09","0.79","0.0","3.46","0.79","2.73","1.26","1.26","0.0","0.0","33.24","140.12","560.48","280.24","527.24","420.36","0.0","","2015.0","10.0","46.26","105.45","74.15","11.2538681102"
"2015.0","10.0","2.0","275.0","46.26","0.09","0.78","0.0","4.31","0.78","3.38","0.01","0.01","0.0","0.0","36.61","140.12","560.48","280.24","523.87","420.36","0.0","","2015.0","11.0","46.26","47.37","48.16","7.30932283465"
"2015.0","10.0","3.0","276.0","46.26","0.09","0.78","0.0","4.3","0.78","3.34","0.0","0.0","0.0","0.0","39.95","140.12","560.48","280.24","520.52","420.36","0.0","","2015.0","12.0","46.26","32.3","36.69","5.5685019685"
"2015.0","10.0","4.0","277.0","46.26","0.08","0.77","0.0","3.53","0.77","2.72","0.23","0.23","0.0","0.0","42.45","140.12","560.48","280.24","518.03","420.36","0.0","","2016.0","1.0","46.26","33.38","38.92","5.90695275591"
"2015.0","10.0","5.0","278.0","46.26","0.08","0.77","0.0","3.35","0.77","2.56","0.0","0.0","0.0","0.0","45.01","140.12","560.48","280.24","515.47","420.36","0.0","","2016.0","2.0","46.26","59.73","46.02","6.98453149606"
"2015.0","10.0","6.0","279.0","46.26","0.08","0.76","0.0","3.36","0.76","2.55","0.0","0.0","0.0","0.0","47.56","140.12","560.48","280.24","512.92","420.36","0.0","","2016.0","3.0","46.26","81.77","69.69","10.5769665354"
"2015.0","10.0","7.0","280.0","46.26","0.08","0.75","0.0","3.38","0.75","2.55","0.0","0.0","0.0","0.0","50.11","140.12","560.48","280.24","510.37","420.36","0.0","","2016.0","4.0","46.26","127.51","109.13","16.5628405512"
"2015.0","10.0","8.0","281.0","46.26","0.08","0.75","0.0","3.48","0.75","2.6","0.0","0.0","0.0","0.0","52.7","140.12","560.48","280.24","507.77","420.36","0.0","","2016.0","5.0","46.26","157.74","139.97","21.2434783465"
"2015.0","10.0","9.0","282.0","46.26","0.08","0.74","0.0","4.25","0.74","3.15","0.0","0.0","0.0","0.0","55.85","140.12","560.48","280.24","504.62","420.36","0.0","","2016.0","6.0","46.26","200.31","180.25","27.3568405512"
"2015.0","10.0","10.0","283.0","46.26","0.08","0.73","0.0","4.01","0.73","2.95","0.0","0.0","0.0","0.0","58.8","140.12","560.48","280.24","501.68","420.36","0.0","","2016.0","7.0","46.26","209.1","188.2","28.5634251969"
"2015.0","10.0","11.0","284.0","46.26","0.08","0.73","0.0","3.66","0.73","2.67","0.0","0.0","0.0","0.0","61.47","140.12","560.48","280.24","499.01","420.36","0.0","","2016.0","8.0","46.26","184.75","166.25","25.2320374016"
"2015.0","10.0","12.0","285.0","46.26","0.08","0.72","0.0","3.68","0.72","2.66","0.0","0.0","0.0","0.0","64.12","140.12","560.48","280.24","496.35","420.36","0.0","","2016.0","9.0","46.26","138.71","120.51","18.2900019685"
"2015.0","10.0","13.0","286.0","46.26","0.08","0.72","0.0","4.1","0.72","2.94","0.0","0.0","0.0","0.0","67.06","140.12","560.48","280.24","493.42","420.36","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","46.26","0.08","0.71","0.0","4.19","0.71","2.98","0.0","0.0","0.0","0.0","70.04","140.12","560.48","280.24","490.44","420.36","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","46.26","0.08","0.7","0.0","3.65","0.7","2.57","0.0","0.0","0.0","0.0","72.61","140.12","560.48","280.24","487.87","420.36","0.0","","","","","","",""
