" Daily soil water balance output for Pistachios in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Pistachio in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1.33","0.08","0.79","0.0","3.76","0.79","2.97","0.31","0.31","0.0","0.0","118.76","123.63","494.54","247.27","375.78","370.9","0.0","","2015.0","10.0","1.33","109.58","77.06","0.336252624672"
"2015.0","10.0","2.0","275.0","1.33","0.08","0.78","0.0","4.74","0.78","3.71","0.0","0.0","0.0","0.0","122.47","123.63","494.54","247.27","372.07","370.9","0.0","","2015.0","11.0","1.33","47.12","44.53","0.194307414698"
"2015.0","10.0","3.0","276.0","1.33","0.08","0.78","0.0","4.63","0.78","3.6","0.0","0.0","0.0","0.0","0.0","123.63","494.54","247.27","494.54","370.9","126.07","","2015.0","12.0","1.33","31.38","33.9","0.147923228346"
"2015.0","10.0","4.0","277.0","1.33","0.08","0.77","0.0","3.8","0.77","2.93","2.04","2.04","0.0","0.0","0.89","123.63","494.54","247.27","493.65","370.9","0.0","","2016.0","1.0","1.33","33.5","37.43","0.16332644357"
"2015.0","10.0","5.0","278.0","1.33","0.08","0.77","0.0","3.49","0.77","2.67","0.0","0.0","0.0","0.0","3.56","123.63","494.54","247.27","490.98","370.9","0.0","","2016.0","2.0","1.33","59.83","44.27","0.193172900262"
"2015.0","10.0","6.0","279.0","1.33","0.08","0.76","0.0","3.52","0.76","2.67","0.0","0.0","0.0","0.0","6.23","123.63","494.54","247.27","488.3","370.9","0.0","","2016.0","3.0","1.33","81.79","69.38","0.302740813648"
"2015.0","10.0","7.0","280.0","1.33","0.08","0.75","0.0","3.34","0.75","2.52","0.0","0.0","0.0","0.0","8.75","123.63","494.54","247.27","485.79","370.9","0.0","","2016.0","4.0","1.33","131.53","113.11","0.493557414698"
"2015.0","10.0","8.0","281.0","1.33","0.08","0.75","0.0","3.43","0.75","2.56","0.0","0.0","0.0","0.0","11.31","123.63","494.54","247.27","483.23","370.9","0.0","","2016.0","5.0","1.33","165.62","145.53","0.635022637795"
"2015.0","10.0","9.0","282.0","1.33","0.08","0.74","0.0","4.18","0.74","3.1","0.0","0.0","0.0","0.0","14.41","123.63","494.54","247.27","480.13","370.9","0.0","","2016.0","6.0","1.33","206.91","186.2","0.81248687664"
"2015.0","10.0","10.0","283.0","1.33","0.08","0.73","0.0","4.26","0.73","3.13","0.0","0.0","0.0","0.0","17.54","123.63","494.54","247.27","477.0","370.9","0.0","","2016.0","7.0","1.33","222.8","200.52","0.874972440945"
"2015.0","10.0","11.0","284.0","1.33","0.08","0.73","0.0","3.74","0.73","2.72","0.0","0.0","0.0","0.0","20.26","123.63","494.54","247.27","474.27","370.9","0.0","","2016.0","8.0","1.33","197.3","177.53","0.774655183727"
"2015.0","10.0","12.0","285.0","1.33","0.08","0.72","0.0","3.84","0.72","2.77","0.0","0.0","0.0","0.0","23.04","123.63","494.54","247.27","471.5","370.9","0.0","","2016.0","9.0","1.33","144.78","125.74","0.548668635171"
"2015.0","10.0","13.0","286.0","1.33","0.08","0.72","0.0","4.14","0.72","2.97","0.0","0.0","0.0","0.0","26.0","123.63","494.54","247.27","468.54","370.9","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1.33","0.08","0.71","0.0","4.29","0.71","3.05","0.0","0.0","0.0","0.0","29.05","123.63","494.54","247.27","465.49","370.9","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1.33","0.08","0.7","0.0","3.77","0.7","2.65","0.0","0.0","0.0","0.0","31.7","123.63","494.54","247.27","462.83","370.9","0.0","","","","","","",""
