" Daily soil water balance output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Rice in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","3663.5","0.08","0.0","0.0","3.76","0.08","0.31","0.31","0.31","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","2015.0","10.0","3663.5","109.58","8.82","106.010728346"
"2015.0","10.0","2.0","275.0","3663.5","0.08","0.0","0.0","4.74","0.08","0.39","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","2015.0","11.0","3663.5","47.12","43.6","524.043963255"
"2015.0","10.0","3.0","276.0","3663.5","0.08","0.0","0.0","4.63","0.08","0.38","0.0","0.0","0.0","0.0","22.88","22.5","182.88","91.44","160.0","160.38","0.0","","2015.0","12.0","3663.5","31.38","33.9","407.456200787"
"2015.0","10.0","4.0","277.0","3663.5","0.08","0.0","0.0","3.8","0.08","0.31","2.04","2.04","0.0","0.0","20.84","22.5","182.88","91.44","162.04","160.38","0.0","","2016.0","1.0","3663.5","33.5","37.43","449.88453084"
"2015.0","10.0","5.0","278.0","3663.5","0.08","0.0","0.0","3.49","0.08","0.29","0.0","0.0","0.0","0.0","21.13","22.5","182.88","91.44","161.75","160.38","0.0","","2016.0","2.0","3663.5","59.83","44.27","532.096932415"
"2015.0","10.0","6.0","279.0","3663.5","0.08","0.0","0.0","3.52","0.08","0.29","0.0","0.0","0.0","0.0","21.41","22.5","182.88","91.44","161.47","160.38","0.0","","2016.0","3.0","3663.5","81.79","54.75","658.059793307"
"2015.0","10.0","7.0","280.0","3663.5","0.08","0.0","0.0","3.34","0.08","0.27","0.0","0.0","0.0","0.0","21.69","22.5","182.88","91.44","161.19","160.38","0.0","","2016.0","4.0","3663.5","131.53","68.31","821.042273622"
"2015.0","10.0","8.0","281.0","3663.5","0.08","0.0","0.0","3.43","0.08","0.28","0.0","0.0","0.0","0.0","21.97","22.5","182.88","91.44","160.91","160.38","0.0","","2016.0","5.0","3663.5","165.62","181.43","2180.67193241"
"2015.0","10.0","9.0","282.0","3663.5","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","22.31","22.5","182.88","91.44","160.57","160.38","0.0","","2016.0","6.0","3663.5","206.91","207.68","2496.18005249"
"2015.0","10.0","10.0","283.0","3663.5","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","22.65","22.5","182.88","91.44","160.23","160.38","0.0","","2016.0","7.0","3663.5","222.8","222.8","2677.91272966"
"2015.0","10.0","11.0","284.0","3663.5","0.08","0.0","0.0","3.74","0.08","0.3","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","2016.0","8.0","3663.5","197.3","193.26","2322.8609252"
"2015.0","10.0","12.0","285.0","3663.5","0.08","0.0","0.0","3.84","0.08","0.31","0.0","0.0","0.0","0.0","22.81","22.5","182.88","91.44","160.07","160.38","0.0","","2016.0","9.0","3663.5","144.78","84.65","1017.43856627"
"2015.0","10.0","13.0","286.0","3663.5","0.08","0.0","0.0","4.14","0.08","0.33","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","3663.5","0.08","0.0","0.0","4.29","0.08","0.35","0.0","0.0","0.0","0.0","22.85","22.5","182.88","91.44","160.03","160.38","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","3663.5","0.08","0.0","0.0","3.77","0.08","0.3","0.0","0.0","0.0","0.0","22.5","22.5","182.88","91.44","160.38","160.38","0.0","","","","","","",""
