" Daily soil water balance output for Riparian in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for  Riparian in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1941.059196","0.08","1.1","0.0","3.64","1.1","4.004","0.45","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","1941.059196","106.82","112.8139","718.433261259"
"2015.0","10.0","2.0","275.0","1941.059196","0.08","1.1","0.0","4.52","1.1","4.972","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","1941.059196","47.32","48.8851","311.315199811"
"2015.0","10.0","3.0","276.0","1941.059196","0.08","1.1","0.0","4.41","1.1","4.851","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","1941.059196","31.12","35.5331","226.28559881"
"2015.0","10.0","4.0","277.0","1941.059196","0.08","1.09","0.0","3.7","1.09","4.033","0.96","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","1941.059196","32.7","37.2105","236.967792693"
"2015.0","10.0","5.0","278.0","1941.059196","0.08","1.09","0.0","3.42","1.09","3.7278","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","1941.059196","58.53","51.1726","325.882696238"
"2015.0","10.0","6.0","279.0","1941.059196","0.08","1.09","0.0","3.43","1.09","3.7387","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","1941.059196","80.22","71.2143","453.51434351"
"2015.0","10.0","7.0","280.0","1941.059196","0.08","1.08","0.0","3.33","1.08","3.5964","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","1941.059196","128.97","111.5801","710.57604723"
"2015.0","10.0","8.0","281.0","1941.059196","0.08","1.08","0.0","3.4","1.08","3.672","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","1941.059196","160.04","152.3976","970.514314069"
"2015.0","10.0","9.0","282.0","1941.059196","0.08","1.08","0.0","4.14","1.08","4.4712","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","1941.059196","198.49","208.3699","1326.96296117"
"2015.0","10.0","10.0","283.0","1941.059196","0.08","1.07","0.0","4.04","1.07","4.3228","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","1941.059196","210.67","231.737","1475.77176806"
"2015.0","10.0","11.0","284.0","1941.059196","0.08","1.07","0.0","3.64","1.07","3.8948","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","1941.059196","185.67","204.237","1300.64339571"
"2015.0","10.0","12.0","285.0","1941.059196","0.08","1.07","0.0","3.73","1.07","3.9911","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","1941.059196","139.09","152.999","974.344212365"
"2015.0","10.0","13.0","286.0","1941.059196","0.08","1.06","0.0","4.07","1.06","4.3142","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1941.059196","0.08","1.06","0.0","4.25","1.06","4.505","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
