" Daily soil water balance output for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Riparian in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","2498.6022075","0.08","1.1","0.0","3.75","1.1","4.125","0.35","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","2498.6022075","109.35","115.4848","946.688242168"
"2015.0","10.0","2.0","275.0","2498.6022075","0.08","1.1","0.0","4.73","1.1","5.203","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","2498.6022075","47.14","49.0375","401.98558317"
"2015.0","10.0","3.0","276.0","2498.6022075","0.08","1.1","0.0","4.62","1.1","5.082","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","2498.6022075","31.27","34.9854","286.793299443"
"2015.0","10.0","4.0","277.0","2498.6022075","0.08","1.09","0.0","3.81","1.09","4.1529","1.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","2498.6022075","33.35","37.3432","306.121397491"
"2015.0","10.0","5.0","278.0","2498.6022075","0.08","1.09","0.0","3.49","1.09","3.8041","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","2498.6022075","59.7","52.2044","427.946289637"
"2015.0","10.0","6.0","279.0","2498.6022075","0.08","1.09","0.0","3.51","1.09","3.8259","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","2498.6022075","81.6","72.3861","593.386053977"
"2015.0","10.0","7.0","280.0","2498.6022075","0.08","1.08","0.0","3.33","1.08","3.5964","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","2498.6022075","131.34","114.5386","938.931754606"
"2015.0","10.0","8.0","281.0","2498.6022075","0.08","1.08","0.0","3.42","1.08","3.6936","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","2498.6022075","165.1","157.1945","1288.60408368"
"2015.0","10.0","9.0","282.0","2498.6022075","0.08","1.08","0.0","4.16","1.08","4.4928","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","2498.6022075","205.77","215.9898","1770.57936705"
"2015.0","10.0","10.0","283.0","2498.6022075","0.08","1.07","0.0","4.24","1.07","4.5368","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","2498.6022075","221.67","243.837","1998.85717346"
"2015.0","10.0","11.0","284.0","2498.6022075","0.08","1.07","0.0","3.72","1.07","3.9804","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","2498.6022075","196.17","215.787","1768.91691125"
"2015.0","10.0","12.0","285.0","2498.6022075","0.08","1.07","0.0","3.83","1.07","4.0981","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","2498.6022075","144.44","158.884","1302.45378326"
"2015.0","10.0","13.0","286.0","2498.6022075","0.08","1.06","0.0","4.13","1.06","4.3778","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","2498.6022075","0.08","1.06","0.0","4.28","1.06","4.5368","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
