" Daily soil water balance output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","2229.73","0.08","0.0","0.0","3.68","0.08","0.31","0.46","0.46","0.0","0.0","31.06","31.35","601.67","300.83","570.61","570.32","0.0","","2015.0","10.0","2229.73","108.61","8.82","64.5217145669"
"2015.0","10.0","2.0","275.0","2229.73","0.08","0.0","0.0","4.58","0.08","0.38","0.02","0.02","0.0","0.0","31.42","31.35","601.67","300.83","570.25","570.32","0.0","","2015.0","11.0","2229.73","47.16","47.36","346.456734908"
"2015.0","10.0","3.0","276.0","2229.73","0.08","0.0","0.0","4.53","0.08","0.37","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","12.0","2229.73","31.9","36.1","264.085475722"
"2015.0","10.0","4.0","277.0","2229.73","0.08","0.0","0.0","3.67","0.08","0.3","0.82","0.82","0.0","0.0","30.83","31.35","601.67","300.83","570.84","570.32","0.0","","2016.0","1.0","2229.73","33.72","38.94","284.861175197"
"2015.0","10.0","5.0","278.0","2229.73","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","31.12","31.35","601.67","300.83","570.55","570.32","0.0","","2016.0","2.0","2229.73","60.04","44.42","324.949496719"
"2015.0","10.0","6.0","279.0","2229.73","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","31.4","31.35","601.67","300.83","570.27","570.32","0.0","","2016.0","3.0","2229.73","82.15","55.08","402.931523622"
"2015.0","10.0","7.0","280.0","2229.73","0.08","0.0","0.0","3.38","0.08","0.28","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2016.0","4.0","2229.73","130.95","75.35","551.214420932"
"2015.0","10.0","8.0","281.0","2229.73","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","31.64","31.35","601.67","300.83","570.03","570.32","0.0","","2016.0","5.0","2229.73","164.12","81.67","597.447667651"
"2015.0","10.0","9.0","282.0","2229.73","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2016.0","6.0","2229.73","207.59","216.24","1581.87931496"
"2015.0","10.0","10.0","283.0","2229.73","0.08","0.0","0.0","4.21","0.08","0.34","0.0","0.0","0.0","0.0","31.69","31.35","601.67","300.83","569.97","570.32","0.0","","2016.0","7.0","2229.73","220.88","77.58","567.527734252"
"2015.0","10.0","11.0","284.0","2229.73","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2016.0","8.0","2229.73","195.62","18.73","137.017201115"
"2015.0","10.0","12.0","285.0","2229.73","0.08","0.0","0.0","3.79","0.08","0.31","0.0","0.0","0.0","0.0","31.66","31.35","601.67","300.83","570.01","570.32","0.0","","2016.0","9.0","2229.73","143.85","12.42","90.8571082677"
"2015.0","10.0","13.0","286.0","2229.73","0.08","0.0","0.0","4.16","0.08","0.34","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","2229.73","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","31.7","31.35","601.67","300.83","569.97","570.32","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","2229.73","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
