" Daily soil water balance output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Safflower in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","2613.8","0.08","0.0","0.0","3.66","0.08","0.31","0.47","0.47","0.0","0.0","26.09","26.4","536.45","268.22","510.35","510.05","0.0","","2015.0","10.0","2613.8","107.84","8.85","75.8928149606"
"2015.0","10.0","2.0","275.0","2613.8","0.08","0.0","0.0","4.58","0.08","0.38","0.0","0.0","0.0","0.0","26.48","26.4","536.45","268.22","509.97","510.05","0.0","","2015.0","11.0","2613.8","47.31","43.39","372.08917979"
"2015.0","10.0","3.0","276.0","2613.8","0.08","0.0","0.0","4.49","0.08","0.37","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2015.0","12.0","2613.8","31.35","34.63","296.968156168"
"2015.0","10.0","4.0","277.0","2613.8","0.08","0.0","0.0","3.72","0.08","0.31","0.83","0.83","0.0","0.0","25.88","26.4","536.45","268.22","510.57","510.05","0.0","","2016.0","1.0","2613.8","33.06","37.62","322.608779528"
"2015.0","10.0","5.0","278.0","2613.8","0.08","0.0","0.0","3.44","0.08","0.29","0.0","0.0","0.0","0.0","26.17","26.4","536.45","268.22","510.28","510.05","0.0","","2016.0","2.0","2613.8","59.04","43.89","376.376909449"
"2015.0","10.0","6.0","279.0","2613.8","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","26.45","26.4","536.45","268.22","509.99","510.05","0.0","","2016.0","3.0","2613.8","80.87","54.31","465.733195538"
"2015.0","10.0","7.0","280.0","2613.8","0.08","0.0","0.0","3.33","0.08","0.28","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2016.0","4.0","2613.8","130.44","55.01","471.73601706"
"2015.0","10.0","8.0","281.0","2613.8","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","26.68","26.4","536.45","268.22","509.77","510.05","0.0","","2016.0","5.0","2613.8","162.51","71.47","612.888077428"
"2015.0","10.0","9.0","282.0","2613.8","0.08","0.0","0.0","4.18","0.08","0.35","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2016.0","6.0","2613.8","202.95","211.42","1813.02360892"
"2015.0","10.0","10.0","283.0","2613.8","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","26.74","26.4","536.45","268.22","509.71","510.05","0.0","","2016.0","7.0","2613.8","216.37","75.33","645.989350394"
"2015.0","10.0","11.0","284.0","2613.8","0.08","0.0","0.0","3.68","0.08","0.3","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","2016.0","8.0","2613.8","191.21","17.69","151.699875328"
"2015.0","10.0","12.0","285.0","2613.8","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","26.71","26.4","536.45","268.22","509.74","510.05","0.0","","2016.0","9.0","2613.8","141.73","11.92","102.219475066"
"2015.0","10.0","13.0","286.0","2613.8","0.08","0.0","0.0","4.1","0.08","0.34","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","2613.8","0.08","0.0","0.0","4.27","0.08","0.35","0.0","0.0","0.0","0.0","26.75","26.4","536.45","268.22","509.7","510.05","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","2613.8","0.08","0.0","0.0","3.73","0.08","0.31","0.0","0.0","0.0","0.0","26.4","26.4","536.45","268.22","510.05","510.05","0.0","","","","","","",""
