" Daily soil water balance output for Tomato in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato Fresh in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","3432.44","0.09","0.0","0.0","3.46","0.09","0.3","1.26","1.26","0.0","0.0","24.54","25.5","336.8","168.4","312.27","311.3","0.0","","2015.0","10.0","3432.44","105.45","8.79","98.9867047244"
"2015.0","10.0","2.0","275.0","3432.44","0.09","0.0","0.0","4.31","0.09","0.37","0.01","0.01","0.0","0.0","24.89","25.5","336.8","168.4","311.91","311.3","0.0","","2015.0","11.0","3432.44","47.37","47.02","529.505671916"
"2015.0","10.0","3.0","276.0","3432.44","0.09","0.0","0.0","4.3","0.09","0.37","0.0","0.0","0.0","0.0","25.26","25.5","336.8","168.4","311.55","311.3","0.0","","2015.0","12.0","3432.44","32.3","36.69","413.176586614"
"2015.0","10.0","4.0","277.0","3432.44","0.08","0.0","0.0","3.53","0.08","0.3","0.23","0.23","0.0","0.0","25.33","25.5","336.8","168.4","311.48","311.3","0.0","","2016.0","1.0","3432.44","33.38","38.92","438.289254593"
"2015.0","10.0","5.0","278.0","3432.44","0.08","0.0","0.0","3.35","0.08","0.28","0.0","0.0","0.0","0.0","25.61","25.5","336.8","168.4","311.19","311.3","0.0","","2016.0","2.0","3432.44","59.73","46.02","518.244385827"
"2015.0","10.0","6.0","279.0","3432.44","0.08","0.0","0.0","3.36","0.08","0.28","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2016.0","3.0","3432.44","81.77","55.41","623.987862205"
"2015.0","10.0","7.0","280.0","3432.44","0.08","0.0","0.0","3.38","0.08","0.29","0.0","0.0","0.0","0.0","25.79","25.5","336.8","168.4","311.02","311.3","0.0","","2016.0","4.0","3432.44","127.51","62.53","704.16821916"
"2015.0","10.0","8.0","281.0","3432.44","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2016.0","5.0","3432.44","157.74","147.53","1661.37753675"
"2015.0","10.0","9.0","282.0","3432.44","0.08","0.0","0.0","4.25","0.08","0.36","0.0","0.0","0.0","0.0","25.86","25.5","336.8","168.4","310.95","311.3","0.0","","2016.0","6.0","3432.44","200.31","220.37","2481.64961549"
"2015.0","10.0","10.0","283.0","3432.44","0.08","0.0","0.0","4.01","0.08","0.34","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2016.0","7.0","3432.44","209.1","188.14","2118.69836483"
"2015.0","10.0","11.0","284.0","3432.44","0.08","0.0","0.0","3.66","0.08","0.31","0.0","0.0","0.0","0.0","25.81","25.5","336.8","168.4","311.0","311.3","0.0","","2016.0","8.0","3432.44","184.75","22.15","249.437486877"
"2015.0","10.0","12.0","285.0","3432.44","0.08","0.0","0.0","3.68","0.08","0.31","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","2016.0","9.0","3432.44","138.71","12.63","142.230043307"
"2015.0","10.0","13.0","286.0","3432.44","0.08","0.0","0.0","4.1","0.08","0.34","0.0","0.0","0.0","0.0","25.84","25.5","336.8","168.4","310.96","311.3","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","3432.44","0.08","0.0","0.0","4.19","0.08","0.35","0.0","0.0","0.0","0.0","25.5","25.5","336.8","168.4","311.3","311.3","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","3432.44","0.08","0.0","0.0","3.65","0.08","0.3","0.0","0.0","0.0","0.0","25.8","25.5","336.8","168.4","311.0","311.3","0.0","","","","","","",""
