" Daily soil water balance output for Tomato in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato Fresh in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","16019.97","0.08","0.0","0.0","3.59","0.08","0.3","2.27","2.27","0.0","0.0","25.03","27.0","546.29","273.14","521.26","519.29","0.0","","2015.0","10.0","16019.97","108.2","8.8","462.518818898"
"2015.0","10.0","2.0","275.0","16019.97","0.08","0.0","0.0","4.41","0.08","0.37","0.36","0.36","0.0","0.0","25.04","27.0","546.29","273.14","521.25","519.29","0.0","","2015.0","11.0","16019.97","47.2","46.86","2462.91271063"
"2015.0","10.0","3.0","276.0","16019.97","0.08","0.0","0.0","4.46","0.08","0.37","0.0","0.0","0.0","0.0","25.41","27.0","546.29","273.14","520.88","519.29","0.0","","2015.0","12.0","16019.97","32.8","37.22","1956.24436811"
"2015.0","10.0","4.0","277.0","16019.97","0.08","0.0","0.0","3.55","0.08","0.29","0.41","0.41","0.0","0.0","25.29","27.0","546.29","273.14","521.0","519.29","0.0","","2016.0","1.0","16019.97","34.3","39.6","2081.33468504"
"2015.0","10.0","5.0","278.0","16019.97","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","25.57","27.0","546.29","273.14","520.72","519.29","0.0","","2016.0","2.0","16019.97","60.9","43.74","2298.92876575"
"2015.0","10.0","6.0","279.0","16019.97","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","25.86","27.0","546.29","273.14","520.43","519.29","0.0","","2016.0","3.0","16019.97","83.8","56.17","2952.23659744"
"2015.0","10.0","7.0","280.0","16019.97","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","26.14","27.0","546.29","273.14","520.15","519.29","0.0","","2016.0","4.0","16019.97","130.55","69.3","3642.33569882"
"2015.0","10.0","8.0","281.0","16019.97","0.08","0.0","0.0","3.53","0.08","0.29","0.0","0.0","0.0","0.0","26.43","27.0","546.29","273.14","519.86","519.29","0.0","","2016.0","5.0","16019.97","164.12","68.18","3583.46966732"
"2015.0","10.0","9.0","282.0","16019.97","0.08","0.0","0.0","4.37","0.08","0.36","0.0","0.0","0.0","0.0","26.79","27.0","546.29","273.14","519.5","519.29","0.0","","2016.0","6.0","16019.97","209.37","198.22","10418.2363957"
"2015.0","10.0","10.0","283.0","16019.97","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","27.14","27.0","546.29","273.14","519.15","519.29","0.0","","2016.0","7.0","16019.97","219.93","210.64","11071.0186378"
"2015.0","10.0","11.0","284.0","16019.97","0.08","0.0","0.0","3.82","0.08","0.31","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","2016.0","8.0","16019.97","194.47","22.47","1180.99975689"
"2015.0","10.0","12.0","285.0","16019.97","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","27.31","27.0","546.29","273.14","518.98","519.29","0.0","","2016.0","9.0","16019.97","143.12","12.66","665.396391732"
"2015.0","10.0","13.0","286.0","16019.97","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","16019.97","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","27.35","27.0","546.29","273.14","518.94","519.29","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","16019.97","0.08","0.0","0.0","3.81","0.08","0.31","0.0","0.0","0.0","0.0","27.0","27.0","546.29","273.14","519.29","519.29","0.0","","","","","","",""
