" Daily soil water balance output for Tomato in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1200.49","0.08","0.0","0.0","3.66","0.08","0.31","0.47","0.47","0.0","0.0","23.84","24.0","292.48","146.24","268.64","268.48","0.0","","2015.0","10.0","1200.49","107.84","8.85","34.8567470472"
"2015.0","10.0","2.0","275.0","1200.49","0.08","0.0","0.0","4.58","0.08","0.38","0.0","0.0","0.0","0.0","24.22","24.0","292.48","146.24","268.26","268.48","0.0","","2015.0","11.0","1200.49","47.31","43.39","170.896525919"
"2015.0","10.0","3.0","276.0","1200.49","0.08","0.0","0.0","4.49","0.08","0.37","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","2015.0","12.0","1200.49","31.35","34.63","136.394254265"
"2015.0","10.0","4.0","277.0","1200.49","0.08","0.0","0.0","3.72","0.08","0.31","0.83","0.83","0.0","0.0","23.48","24.0","292.48","146.24","269.0","268.48","0.0","","2016.0","1.0","1200.49","33.06","37.62","148.170714567"
"2015.0","10.0","5.0","278.0","1200.49","0.08","0.0","0.0","3.44","0.08","0.29","0.0","0.0","0.0","0.0","23.77","24.0","292.48","146.24","268.71","268.48","0.0","","2016.0","2.0","1200.49","59.04","43.89","172.865833661"
"2015.0","10.0","6.0","279.0","1200.49","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","24.05","24.0","292.48","146.24","268.43","268.48","0.0","","2016.0","3.0","1200.49","80.87","54.31","213.906207021"
"2015.0","10.0","7.0","280.0","1200.49","0.08","0.0","0.0","3.33","0.08","0.28","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","2016.0","4.0","1200.49","130.44","55.01","216.663237861"
"2015.0","10.0","8.0","281.0","1200.49","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","24.28","24.0","292.48","146.24","268.2","268.48","0.0","","2016.0","5.0","1200.49","162.51","69.52","273.812548556"
"2015.0","10.0","9.0","282.0","1200.49","0.08","0.0","0.0","4.18","0.08","0.35","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","2016.0","6.0","1200.49","202.95","204.42","805.131777559"
"2015.0","10.0","10.0","283.0","1200.49","0.08","0.0","0.0","4.12","0.08","0.34","0.0","0.0","0.0","0.0","24.34","24.0","292.48","146.24","268.14","268.48","0.0","","2016.0","7.0","1200.49","216.37","238.04","937.548030184"
"2015.0","10.0","11.0","284.0","1200.49","0.08","0.0","0.0","3.68","0.08","0.3","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","2016.0","8.0","1200.49","191.21","163.6","644.357493438"
"2015.0","10.0","12.0","285.0","1200.49","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","24.31","24.0","292.48","146.24","268.17","268.48","0.0","","2016.0","9.0","1200.49","141.73","11.92","46.9482965879"
"2015.0","10.0","13.0","286.0","1200.49","0.08","0.0","0.0","4.1","0.08","0.34","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1200.49","0.08","0.0","0.0","4.27","0.08","0.35","0.0","0.0","0.0","0.0","24.35","24.0","292.48","146.24","268.13","268.48","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1200.49","0.08","0.0","0.0","3.73","0.08","0.31","0.0","0.0","0.0","0.0","24.0","24.0","292.48","146.24","268.48","268.48","0.0","","","","","","",""
