" Daily soil water balance output for Tomato in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Tomato in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","2602.91","0.08","0.0","0.0","3.76","0.08","0.31","0.31","0.31","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","2015.0","10.0","2602.91","109.58","8.82","75.3204271654"
"2015.0","10.0","2.0","275.0","2602.91","0.08","0.0","0.0","4.74","0.08","0.39","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","2015.0","11.0","2602.91","47.12","43.6","372.332270341"
"2015.0","10.0","3.0","276.0","2602.91","0.08","0.0","0.0","4.63","0.08","0.38","0.0","0.0","0.0","0.0","22.88","22.5","274.2","137.1","251.32","251.7","0.0","","2015.0","12.0","2602.91","31.38","33.9","289.496879921"
"2015.0","10.0","4.0","277.0","2602.91","0.08","0.0","0.0","3.8","0.08","0.31","2.04","2.04","0.0","0.0","20.84","22.5","274.2","137.1","253.36","251.7","0.0","","2016.0","1.0","2602.91","33.5","37.43","319.642130249"
"2015.0","10.0","5.0","278.0","2602.91","0.08","0.0","0.0","3.49","0.08","0.29","0.0","0.0","0.0","0.0","21.13","22.5","274.2","137.1","253.07","251.7","0.0","","2016.0","2.0","2602.91","59.83","44.27","378.053890092"
"2015.0","10.0","6.0","279.0","2602.91","0.08","0.0","0.0","3.52","0.08","0.29","0.0","0.0","0.0","0.0","21.41","22.5","274.2","137.1","252.79","251.7","0.0","","2016.0","3.0","2602.91","81.79","54.75","467.550270669"
"2015.0","10.0","7.0","280.0","2602.91","0.08","0.0","0.0","3.34","0.08","0.27","0.0","0.0","0.0","0.0","21.69","22.5","274.2","137.1","252.51","251.7","0.0","","2016.0","4.0","2602.91","131.53","68.31","583.349022638"
"2015.0","10.0","8.0","281.0","2602.91","0.08","0.0","0.0","3.43","0.08","0.28","0.0","0.0","0.0","0.0","21.97","22.5","274.2","137.1","252.23","251.7","0.0","","2016.0","5.0","2602.91","165.62","74.58","636.893135827"
"2015.0","10.0","9.0","282.0","2602.91","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","22.31","22.5","274.2","137.1","251.89","251.7","0.0","","2016.0","6.0","2602.91","206.91","208.24","1778.31357743"
"2015.0","10.0","10.0","283.0","2602.91","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","22.65","22.5","274.2","137.1","251.55","251.7","0.0","","2016.0","7.0","2602.91","222.8","245.08","2092.9172664"
"2015.0","10.0","11.0","284.0","2602.91","0.08","0.0","0.0","3.74","0.08","0.3","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","2016.0","8.0","2602.91","197.3","168.81","1441.59198524"
"2015.0","10.0","12.0","285.0","2602.91","0.08","0.0","0.0","3.84","0.08","0.31","0.0","0.0","0.0","0.0","22.81","22.5","274.2","137.1","251.39","251.7","0.0","","2016.0","9.0","2602.91","144.78","12.32","105.209485564"
"2015.0","10.0","13.0","286.0","2602.91","0.08","0.0","0.0","4.14","0.08","0.33","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","2602.91","0.08","0.0","0.0","4.29","0.08","0.35","0.0","0.0","0.0","0.0","22.85","22.5","274.2","137.1","251.35","251.7","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","2602.91","0.08","0.0","0.0","3.77","0.08","0.3","0.0","0.0","0.0","0.0","22.5","22.5","274.2","137.1","251.7","251.7","0.0","","","","","","",""
