" Daily soil water balance output for Truck Crops in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Truck Crops in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1155.12","0.08","0.0","0.0","3.59","0.08","0.3","2.27","2.27","0.0","0.0","19.63","21.6","437.03","218.52","417.4","415.43","0.0","","2015.0","10.0","1155.12","108.2","8.8","33.3499212598"
"2015.0","10.0","2.0","275.0","1155.12","0.08","0.0","0.0","4.41","0.08","0.37","0.36","0.36","0.0","0.0","19.64","21.6","437.03","218.52","417.4","415.43","0.0","","2015.0","11.0","1155.12","47.2","46.86","177.588330709"
"2015.0","10.0","3.0","276.0","1155.12","0.08","0.0","0.0","4.46","0.08","0.37","0.0","0.0","0.0","0.0","20.01","21.6","437.03","218.52","417.03","415.43","0.0","","2015.0","12.0","1155.12","32.8","37.22","141.055007874"
"2015.0","10.0","4.0","277.0","1155.12","0.08","0.0","0.0","3.55","0.08","0.29","0.41","0.41","0.0","0.0","19.89","21.6","437.03","218.52","417.14","415.43","0.0","","2016.0","1.0","1155.12","34.3","39.6","150.074645669"
"2015.0","10.0","5.0","278.0","1155.12","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","20.17","21.6","437.03","218.52","416.86","415.43","0.0","","2016.0","2.0","1155.12","60.9","43.74","165.764267717"
"2015.0","10.0","6.0","279.0","1155.12","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","20.46","21.6","437.03","218.52","416.57","415.43","0.0","","2016.0","3.0","1155.12","83.8","56.17","212.871031496"
"2015.0","10.0","7.0","280.0","1155.12","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","20.74","21.6","437.03","218.52","416.29","415.43","0.0","","2016.0","4.0","1155.12","130.55","80.96","306.819275591"
"2015.0","10.0","8.0","281.0","1155.12","0.08","0.0","0.0","3.53","0.08","0.29","0.0","0.0","0.0","0.0","21.03","21.6","437.03","218.52","416.0","415.43","0.0","","2016.0","5.0","1155.12","164.12","122.23","463.222826772"
"2015.0","10.0","9.0","282.0","1155.12","0.08","0.0","0.0","4.37","0.08","0.36","0.0","0.0","0.0","0.0","21.39","21.6","437.03","218.52","415.64","415.43","0.0","","2016.0","6.0","1155.12","209.37","199.82","757.270598425"
"2015.0","10.0","10.0","283.0","1155.12","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","21.74","21.6","437.03","218.52","415.29","415.43","0.0","","2016.0","7.0","1155.12","219.93","213.33","808.470307087"
"2015.0","10.0","11.0","284.0","1155.12","0.08","0.0","0.0","3.82","0.08","0.31","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","2016.0","8.0","1155.12","194.47","170.46","646.003133858"
"2015.0","10.0","12.0","285.0","1155.12","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","21.91","21.6","437.03","218.52","415.12","415.43","0.0","","2016.0","9.0","1155.12","143.12","12.66","47.9784094488"
"2015.0","10.0","13.0","286.0","1155.12","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1155.12","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","21.95","21.6","437.03","218.52","415.09","415.43","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1155.12","0.08","0.0","0.0","3.81","0.08","0.31","0.0","0.0","0.0","0.0","21.6","21.6","437.03","218.52","415.43","415.43","0.0","","","","","","",""
