" Daily soil water balance output for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Truck Crops in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","393.64","0.08","0.81","0.0","3.76","0.81","3.05","0.31","0.31","0.0","0.0","7.95","64.01","256.03","128.02","248.09","192.02","0.0","","2015.0","10.0","393.64","109.58","11.56","14.9293910761"
"2015.0","10.0","2.0","275.0","393.64","0.08","0.0","0.0","4.74","0.08","0.39","0.0","0.0","0.0","0.0","8.34","18.0","256.03","128.02","247.69","238.03","0.0","","2015.0","11.0","393.64","47.12","43.6","56.3080839895"
"2015.0","10.0","3.0","276.0","393.64","0.08","0.0","0.0","4.63","0.08","0.38","0.0","0.0","0.0","0.0","8.72","18.0","256.03","128.02","247.31","238.03","0.0","","2015.0","12.0","393.64","31.38","33.9","43.7808267717"
"2015.0","10.0","4.0","277.0","393.64","0.08","0.0","0.0","3.8","0.08","0.31","2.04","2.04","0.0","0.0","6.99","18.0","256.03","128.02","249.04","238.03","0.0","","2016.0","1.0","393.64","33.5","37.43","48.3397152231"
"2015.0","10.0","5.0","278.0","393.64","0.08","0.0","0.0","3.49","0.08","0.29","0.0","0.0","0.0","0.0","7.27","18.0","256.03","128.02","248.76","238.03","0.0","","2016.0","2.0","393.64","59.83","44.27","57.1733687664"
"2015.0","10.0","6.0","279.0","393.64","0.08","0.0","0.0","3.52","0.08","0.29","0.0","0.0","0.0","0.0","7.56","18.0","256.03","128.02","248.47","238.03","0.0","","2016.0","3.0","393.64","81.79","54.75","70.7079724409"
"2015.0","10.0","7.0","280.0","393.64","0.08","0.0","0.0","3.34","0.08","0.27","0.0","0.0","0.0","0.0","7.84","18.0","256.03","128.02","248.2","238.03","0.0","","2016.0","4.0","393.64","131.53","70.07","90.4932900262"
"2015.0","10.0","8.0","281.0","393.64","0.08","0.0","0.0","3.43","0.08","0.28","0.0","0.0","0.0","0.0","8.11","18.0","256.03","128.02","247.92","238.03","0.0","","2016.0","5.0","393.64","165.62","91.67","118.389038058"
"2015.0","10.0","9.0","282.0","393.64","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","8.46","18.0","256.03","128.02","247.58","238.03","0.0","","2016.0","6.0","393.64","206.91","149.61","193.216799213"
"2015.0","10.0","10.0","283.0","393.64","0.08","0.0","0.0","4.26","0.08","0.35","0.0","0.0","0.0","0.0","8.8","18.0","256.03","128.02","247.23","238.03","0.0","","2016.0","7.0","393.64","222.8","207.61","268.122048556"
"2015.0","10.0","11.0","284.0","393.64","0.08","0.0","0.0","3.74","0.08","0.3","0.0","0.0","0.0","0.0","9.1","18.0","256.03","128.02","246.93","238.03","0.0","","2016.0","8.0","393.64","197.3","187.43","242.060187664"
"2015.0","10.0","12.0","285.0","393.64","0.08","0.0","0.0","3.84","0.08","0.31","0.0","0.0","0.0","0.0","9.42","18.0","256.03","128.02","246.62","238.03","0.0","","2016.0","9.0","393.64","144.78","130.39","168.394749344"
"2015.0","10.0","13.0","286.0","393.64","0.08","0.0","0.0","4.14","0.08","0.33","0.0","0.0","0.0","0.0","9.75","18.0","256.03","128.02","246.28","238.03","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","393.64","0.08","0.0","0.0","4.29","0.08","0.35","0.0","0.0","0.0","0.0","10.1","18.0","256.03","128.02","245.94","238.03","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","393.64","0.08","0.0","0.0","3.77","0.08","0.3","0.0","0.0","0.0","0.0","10.4","18.0","256.03","128.02","245.63","238.03","0.0","","","","","","",""
