" Daily soil water balance output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Turf_farm in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1704.65","0.08","0.85","0.0","3.59","0.85","3.05","2.27","2.27","0.0","0.0","35.05","56.62","241.4","120.7","206.36","184.79","0.0","","2015.0","10.0","1704.65","108.2","91.98","514.415049213"
"2015.0","10.0","2.0","275.0","1704.65","0.08","0.85","0.0","4.41","0.85","3.75","0.36","0.36","0.0","0.0","38.43","56.62","241.4","120.7","202.97","184.79","0.0","","2015.0","11.0","1704.65","47.2","49.16","274.936332021"
"2015.0","10.0","3.0","276.0","1704.65","0.08","0.85","0.0","4.46","0.85","3.79","0.0","0.0","0.0","0.0","42.22","56.62","241.4","120.7","199.18","184.79","0.0","","2015.0","12.0","1704.65","32.8","37.29","208.551176181"
"2015.0","10.0","4.0","277.0","1704.65","0.08","0.85","0.0","3.55","0.85","3.02","0.41","0.41","0.0","0.0","44.83","56.62","241.4","120.7","196.57","184.79","0.0","","2016.0","1.0","1704.65","34.3","39.6","221.470275591"
"2015.0","10.0","5.0","278.0","1704.65","0.08","0.85","0.0","3.41","0.85","2.9","0.0","0.0","0.0","0.0","47.73","56.62","241.4","120.7","193.67","184.79","0.0","","2016.0","2.0","1704.65","60.9","54.7","305.919799869"
"2015.0","10.0","6.0","279.0","1704.65","0.08","0.85","0.0","3.44","0.85","2.92","0.0","0.0","0.0","0.0","50.65","56.62","241.4","120.7","190.75","184.79","0.0","","2016.0","3.0","1704.65","83.8","77.53","433.600769357"
"2015.0","10.0","7.0","280.0","1704.65","0.08","0.85","0.0","3.44","0.85","2.92","0.0","0.0","0.0","0.0","53.58","56.62","241.4","120.7","187.82","184.79","0.0","","2016.0","4.0","1704.65","130.55","114.23","638.852262139"
"2015.0","10.0","8.0","281.0","1704.65","0.08","0.85","0.0","3.53","0.85","3.0","0.0","0.0","0.0","0.0","56.58","56.62","241.4","120.7","184.82","184.79","0.0","","2016.0","5.0","1704.65","164.12","141.0","788.568405512"
"2015.0","10.0","9.0","282.0","1704.65","0.08","0.85","0.0","4.37","0.85","3.71","0.0","0.0","0.0","0.0","0.0","56.62","241.4","120.7","241.4","184.79","60.29","","2016.0","6.0","1704.65","209.37","177.95","995.218069226"
"2015.0","10.0","10.0","283.0","1704.65","0.08","0.85","0.0","4.22","0.85","3.59","0.0","0.0","0.0","0.0","3.59","56.62","241.4","120.7","237.81","184.79","0.0","","2016.0","7.0","1704.65","219.93","186.94","1045.49629593"
"2015.0","10.0","11.0","284.0","1704.65","0.08","0.85","0.0","3.82","0.85","3.25","0.0","0.0","0.0","0.0","6.83","56.62","241.4","120.7","234.57","184.79","0.0","","2016.0","8.0","1704.65","194.47","165.3","924.470620079"
"2015.0","10.0","12.0","285.0","1704.65","0.08","0.85","0.0","3.76","0.85","3.2","0.0","0.0","0.0","0.0","10.03","56.62","241.4","120.7","231.37","184.79","0.0","","2016.0","9.0","1704.65","143.12","121.66","680.405902231"
"2015.0","10.0","13.0","286.0","1704.65","0.08","0.85","0.0","4.18","0.85","3.55","0.0","0.0","0.0","0.0","13.58","56.62","241.4","120.7","227.82","184.79","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1704.65","0.08","0.85","0.0","4.25","0.85","3.61","0.0","0.0","0.0","0.0","17.2","56.62","241.4","120.7","224.21","184.79","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1704.65","0.08","0.85","0.0","3.81","0.85","3.24","0.0","0.0","0.0","0.0","20.43","56.62","241.4","120.7","220.97","184.79","0.0","","","","","","",""
