" Daily soil water balance output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Turf_farm in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","398.09","0.08","0.85","0.0","3.76","0.85","3.2","0.31","0.31","0.0","0.0","20.35","47.31","201.17","100.58","180.81","153.86","0.0","","2015.0","10.0","398.09","109.58","93.15","121.660378937"
"2015.0","10.0","2.0","275.0","398.09","0.08","0.85","0.0","4.74","0.85","4.03","0.0","0.0","0.0","0.0","24.38","47.31","201.17","100.58","176.79","153.86","0.0","","2015.0","11.0","398.09","47.12","47.24","61.6987257218"
"2015.0","10.0","3.0","276.0","398.09","0.08","0.85","0.0","4.63","0.85","3.94","0.0","0.0","0.0","0.0","28.32","47.31","201.17","100.58","172.85","153.86","0.0","","2015.0","12.0","398.09","31.38","34.9","45.5818274278"
"2015.0","10.0","4.0","277.0","398.09","0.08","0.85","0.0","3.8","0.85","3.23","2.04","2.04","0.0","0.0","29.51","47.31","201.17","100.58","171.66","153.86","0.0","","2016.0","1.0","398.09","33.5","37.72","49.2649435696"
"2015.0","10.0","5.0","278.0","398.09","0.08","0.85","0.0","3.49","0.85","2.97","0.0","0.0","0.0","0.0","32.47","47.31","201.17","100.58","168.69","153.86","0.0","","2016.0","2.0","398.09","59.83","54.33","70.9587588583"
"2015.0","10.0","6.0","279.0","398.09","0.08","0.85","0.0","3.52","0.85","2.99","0.0","0.0","0.0","0.0","35.47","47.31","201.17","100.58","165.7","153.86","0.0","","2016.0","3.0","398.09","81.79","75.51","98.6213120079"
"2015.0","10.0","7.0","280.0","398.09","0.08","0.85","0.0","3.34","0.85","2.84","0.0","0.0","0.0","0.0","38.31","47.31","201.17","100.58","162.86","153.86","0.0","","2016.0","4.0","398.09","131.53","114.63","149.714752953"
"2015.0","10.0","8.0","281.0","398.09","0.08","0.85","0.0","3.43","0.85","2.92","0.0","0.0","0.0","0.0","41.22","47.31","201.17","100.58","159.95","153.86","0.0","","2016.0","5.0","398.09","165.62","140.75","183.829289698"
"2015.0","10.0","9.0","282.0","398.09","0.08","0.85","0.0","4.18","0.85","3.55","0.0","0.0","0.0","0.0","44.77","47.31","201.17","100.58","156.39","153.86","0.0","","2016.0","6.0","398.09","206.91","175.86","229.685391732"
"2015.0","10.0","10.0","283.0","398.09","0.08","0.85","0.0","4.26","0.85","3.62","0.0","0.0","0.0","0.0","0.0","47.31","201.17","100.58","201.17","153.86","48.4","","2016.0","7.0","398.09","222.8","189.38","247.3434521"
"2015.0","10.0","11.0","284.0","398.09","0.08","0.85","0.0","3.74","0.85","3.18","0.0","0.0","0.0","0.0","3.18","47.31","201.17","100.58","197.99","153.86","0.0","","2016.0","8.0","398.09","197.3","167.69","219.014803478"
"2015.0","10.0","12.0","285.0","398.09","0.08","0.85","0.0","3.84","0.85","3.26","0.0","0.0","0.0","0.0","6.44","47.31","201.17","100.58","194.73","153.86","0.0","","2016.0","9.0","398.09","144.78","123.07","160.737979987"
"2015.0","10.0","13.0","286.0","398.09","0.08","0.85","0.0","4.14","0.85","3.52","0.0","0.0","0.0","0.0","9.96","47.31","201.17","100.58","191.21","153.86","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","398.09","0.08","0.85","0.0","4.29","0.85","3.65","0.0","0.0","0.0","0.0","13.61","47.31","201.17","100.58","187.56","153.86","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","398.09","0.08","0.85","0.0","3.77","0.85","3.2","0.0","0.0","0.0","0.0","16.81","47.31","201.17","100.58","184.36","153.86","0.0","","","","","","",""
