" Daily soil water balance output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","12794.36","0.1","0.8","0.0","3.39","0.8","2.71","0.78","0.78","0.0","0.0","28.27","28.71","120.0","60.0","91.73","91.29","0.0","","2015.0","10.0","12794.36","104.29","83.43","3502.07826378"
"2015.0","10.0","2.0","275.0","12794.36","0.1","0.8","0.0","4.23","0.8","3.38","0.0","0.0","0.0","0.0","0.0","28.71","120.0","60.0","120.0","91.29","31.65","","2015.0","11.0","12794.36","47.42","48.93","2053.89775197"
"2015.0","10.0","3.0","276.0","12794.36","0.1","0.8","0.0","4.22","0.8","3.38","0.0","0.0","0.0","0.0","3.38","28.71","120.0","60.0","116.62","91.29","0.0","","2015.0","12.0","12794.36","32.2","36.51","1532.55276772"
"2015.0","10.0","4.0","277.0","12794.36","0.1","0.8","0.0","3.51","0.8","2.81","0.04","0.04","0.0","0.0","6.14","28.71","120.0","60.0","113.86","91.29","0.0","","2016.0","1.0","12794.36","33.09","38.62","1621.12264829"
"2015.0","10.0","5.0","278.0","12794.36","0.1","0.8","0.0","3.32","0.8","2.66","0.0","0.0","0.0","0.0","8.8","28.71","120.0","60.0","111.2","91.29","0.0","","2016.0","2.0","12794.36","59.48","52.79","2215.9260643"
"2015.0","10.0","6.0","279.0","12794.36","0.1","0.8","0.0","3.32","0.8","2.66","0.0","0.0","0.0","0.0","11.46","28.71","120.0","60.0","108.54","91.29","0.0","","2016.0","3.0","12794.36","81.17","72.97","3063.0067231"
"2015.0","10.0","7.0","280.0","12794.36","0.1","0.8","0.0","3.36","0.8","2.69","0.0","0.0","0.0","0.0","14.14","28.71","120.0","60.0","105.86","91.29","0.0","","2016.0","4.0","12794.36","126.47","103.88","4360.49250919"
"2015.0","10.0","8.0","281.0","12794.36","0.1","0.8","0.0","3.47","0.8","2.78","0.0","0.0","0.0","0.0","16.92","28.71","120.0","60.0","103.08","91.29","0.0","","2016.0","5.0","12794.36","155.96","124.76","5236.95654068"
"2015.0","10.0","9.0","282.0","12794.36","0.1","0.8","0.0","4.21","0.8","3.37","0.0","0.0","0.0","0.0","20.29","28.71","120.0","60.0","99.71","91.29","0.0","","2016.0","6.0","12794.36","197.64","158.1","6636.4446063"
"2015.0","10.0","10.0","283.0","12794.36","0.1","0.8","0.0","3.93","0.8","3.14","0.0","0.0","0.0","0.0","23.43","28.71","120.0","60.0","96.57","91.29","0.0","","2016.0","7.0","12794.36","205.63","164.51","6905.51234777"
"2015.0","10.0","11.0","284.0","12794.36","0.1","0.8","0.0","3.61","0.8","2.89","0.0","0.0","0.0","0.0","26.32","28.71","120.0","60.0","93.68","91.29","0.0","","2016.0","8.0","12794.36","181.45","145.17","6093.69173622"
"2015.0","10.0","12.0","285.0","12794.36","0.1","0.8","0.0","3.65","0.8","2.92","0.0","0.0","0.0","0.0","0.0","28.71","120.0","60.0","120.0","91.29","29.24","","2016.0","9.0","12794.36","137.04","109.64","4602.27569029"
"2015.0","10.0","13.0","286.0","12794.36","0.1","0.8","0.0","4.08","0.8","3.26","0.0","0.0","0.0","0.0","3.26","28.71","120.0","60.0","116.74","91.29","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","12794.36","0.1","0.8","0.0","4.16","0.8","3.33","0.0","0.0","0.0","0.0","6.59","28.71","120.0","60.0","113.41","91.29","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","12794.36","0.1","0.8","0.0","3.58","0.8","2.86","0.0","0.0","0.0","0.0","9.46","28.71","120.0","60.0","110.54","91.29","0.0","","","","","","",""
