" Daily soil water balance output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","34035.48","0.08","0.8","0.0","3.6","0.8","2.88","2.91","2.91","0.0","0.0","8.07","31.02","128.0","64.0","119.93","96.98","0.0","","2015.0","10.0","34035.48","108.34","86.67","9678.0021378"
"2015.0","10.0","2.0","275.0","34035.48","0.08","0.8","0.0","4.38","0.8","3.5","0.27","0.27","0.0","0.0","11.3","31.02","128.0","64.0","116.7","96.98","0.0","","2015.0","11.0","34035.48","47.15","48.72","5440.31688189"
"2015.0","10.0","3.0","276.0","34035.48","0.08","0.8","0.0","4.46","0.8","3.57","0.0","0.0","0.0","0.0","14.87","31.02","128.0","64.0","113.13","96.98","0.0","","2015.0","12.0","34035.48","33.04","37.49","4186.31937402"
"2015.0","10.0","4.0","277.0","34035.48","0.08","0.8","0.0","3.54","0.8","2.83","0.2","0.2","0.0","0.0","17.5","31.02","128.0","64.0","110.5","96.98","0.0","","2016.0","1.0","34035.48","34.53","39.9","4455.43192913"
"2015.0","10.0","5.0","278.0","34035.48","0.08","0.8","0.0","3.41","0.8","2.73","0.0","0.0","0.0","0.0","20.23","31.02","128.0","64.0","107.77","96.98","0.0","","2016.0","2.0","34035.48","61.27","52.8","5895.90992126"
"2015.0","10.0","6.0","279.0","34035.48","0.08","0.8","0.0","3.45","0.8","2.76","0.0","0.0","0.0","0.0","22.99","31.02","128.0","64.0","105.01","96.98","0.0","","2016.0","3.0","34035.48","84.27","74.74","8345.83915748"
"2015.0","10.0","7.0","280.0","34035.48","0.08","0.8","0.0","3.47","0.8","2.78","0.0","0.0","0.0","0.0","25.76","31.02","128.0","64.0","102.24","96.98","0.0","","2016.0","4.0","34035.48","130.66","108.72","12140.2145197"
"2015.0","10.0","8.0","281.0","34035.48","0.08","0.8","0.0","3.54","0.8","2.83","0.0","0.0","0.0","0.0","28.6","31.02","128.0","64.0","99.4","96.98","0.0","","2016.0","5.0","34035.48","164.75","133.76","14936.3051339"
"2015.0","10.0","9.0","282.0","34035.48","0.08","0.8","0.0","4.39","0.8","3.51","0.0","0.0","0.0","0.0","0.0","31.02","128.0","64.0","128.0","96.98","32.11","","2016.0","6.0","34035.48","210.55","168.45","18809.9626181"
"2015.0","10.0","10.0","283.0","34035.48","0.08","0.8","0.0","4.24","0.8","3.39","0.0","0.0","0.0","0.0","3.39","31.02","128.0","64.0","124.61","96.98","0.0","","2016.0","7.0","34035.48","220.64","176.5","19708.8655512"
"2015.0","10.0","11.0","284.0","34035.48","0.08","0.8","0.0","3.84","0.8","3.07","0.0","0.0","0.0","0.0","6.46","31.02","128.0","64.0","121.54","96.98","0.0","","2016.0","8.0","34035.48","195.18","156.11","17432.0170039"
"2015.0","10.0","12.0","285.0","34035.48","0.08","0.8","0.0","3.76","0.8","3.01","0.0","0.0","0.0","0.0","9.47","31.02","128.0","64.0","118.53","96.98","0.0","","2016.0","9.0","34035.48","143.34","114.67","12804.6210354"
"2015.0","10.0","13.0","286.0","34035.48","0.08","0.8","0.0","4.19","0.8","3.35","0.0","0.0","0.0","0.0","12.82","31.02","128.0","64.0","115.18","96.98","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","34035.48","0.08","0.8","0.0","4.23","0.8","3.38","0.0","0.0","0.0","0.0","16.21","31.02","128.0","64.0","111.79","96.98","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","34035.48","0.08","0.8","0.0","3.81","0.8","3.05","0.0","0.0","0.0","0.0","19.26","31.02","128.0","64.0","108.74","96.98","0.0","","","","","","",""
