" Daily soil water balance output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Urban Landscape in 186_Yolo DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","7693.29","0.08","0.8","0.0","3.74","0.8","2.99","0.27","0.27","0.0","0.0","7.85","27.23","112.0","56.0","104.15","84.77","0.0","","2015.0","10.0","7693.29","109.84","87.89","2218.38339272"
"2015.0","10.0","2.0","275.0","7693.29","0.08","0.8","0.0","4.77","0.8","3.82","0.0","0.0","0.0","0.0","11.67","27.23","112.0","56.0","100.33","84.77","0.0","","2015.0","11.0","7693.29","46.95","46.31","1168.88536713"
"2015.0","10.0","3.0","276.0","7693.29","0.08","0.8","0.0","4.67","0.8","3.74","0.0","0.0","0.0","0.0","15.4","27.23","112.0","56.0","96.6","84.77","0.0","","2015.0","12.0","7693.29","31.33","34.68","875.338901575"
"2015.0","10.0","4.0","277.0","7693.29","0.08","0.8","0.0","3.85","0.8","3.08","2.15","2.15","0.0","0.0","16.33","27.23","112.0","56.0","95.67","84.77","0.0","","2016.0","1.0","7693.29","33.65","37.72","952.069877953"
"2015.0","10.0","5.0","278.0","7693.29","0.08","0.8","0.0","3.5","0.8","2.8","0.0","0.0","0.0","0.0","19.13","27.23","112.0","56.0","92.87","84.77","0.0","","2016.0","2.0","7693.29","60.21","52.62","1328.15262402"
"2015.0","10.0","6.0","279.0","7693.29","0.08","0.8","0.0","3.52","0.8","2.82","0.0","0.0","0.0","0.0","21.95","27.23","112.0","56.0","90.05","84.77","0.0","","2016.0","3.0","7693.29","82.03","72.76","1836.49534252"
"2015.0","10.0","7.0","280.0","7693.29","0.08","0.8","0.0","3.34","0.8","2.67","0.0","0.0","0.0","0.0","24.62","27.23","112.0","56.0","87.38","84.77","0.0","","2016.0","4.0","7693.29","131.96","109.27","2758.02427264"
"2015.0","10.0","8.0","281.0","7693.29","0.08","0.8","0.0","3.42","0.8","2.74","0.0","0.0","0.0","0.0","0.0","27.23","112.0","56.0","112.0","84.77","27.36","","2016.0","5.0","7693.29","165.98","132.79","3351.67972146"
"2015.0","10.0","9.0","282.0","7693.29","0.08","0.8","0.0","4.15","0.8","3.32","0.0","0.0","0.0","0.0","3.32","27.23","112.0","56.0","108.68","84.77","0.0","","2016.0","6.0","7693.29","207.25","165.8","4184.86706693"
"2015.0","10.0","10.0","283.0","7693.29","0.08","0.8","0.0","4.3","0.8","3.44","0.0","0.0","0.0","0.0","6.76","27.23","112.0","56.0","105.24","84.77","0.0","","2016.0","7.0","7693.29","224.02","179.2","4523.08913386"
"2015.0","10.0","11.0","284.0","7693.29","0.08","0.8","0.0","3.74","0.8","2.99","0.0","0.0","0.0","0.0","9.75","27.23","112.0","56.0","102.25","84.77","0.0","","2016.0","8.0","7693.29","198.64","158.9","4010.70794291"
"2015.0","10.0","12.0","285.0","7693.29","0.08","0.8","0.0","3.86","0.8","3.09","0.0","0.0","0.0","0.0","12.84","27.23","112.0","56.0","99.16","84.77","0.0","","2016.0","9.0","7693.29","145.22","116.14","2931.42618307"
"2015.0","10.0","13.0","286.0","7693.29","0.08","0.8","0.0","4.14","0.8","3.31","0.0","0.0","0.0","0.0","16.15","27.23","112.0","56.0","95.85","84.77","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","7693.29","0.08","0.8","0.0","4.26","0.8","3.41","0.0","0.0","0.0","0.0","19.56","27.23","112.0","56.0","92.44","84.77","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","7693.29","0.08","0.8","0.0","3.8","0.8","3.04","0.0","0.0","0.0","0.0","22.6","27.23","112.0","56.0","89.4","84.77","0.0","","","","","","",""
