" Daily soil water balance output for Vineyard in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Vineyard in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1473.14","0.09","0.63","0.0","3.46","0.63","2.18","1.26","1.26","0.0","0.0","88.53","142.49","569.98","284.99","481.45","427.48","0.0","","2015.0","10.0","1473.14","105.45","52.92","255.769582677"
"2015.0","10.0","2.0","275.0","1473.14","0.09","0.62","0.0","4.31","0.62","2.67","0.01","0.01","0.0","0.0","91.19","142.49","569.98","284.99","478.78","427.48","0.0","","2015.0","11.0","1473.14","47.37","47.61","230.105627953"
"2015.0","10.0","3.0","276.0","1473.14","0.09","0.61","0.0","4.3","0.61","2.63","0.0","0.0","0.0","0.0","93.82","142.49","569.98","284.99","476.16","427.48","0.0","","2015.0","12.0","1473.14","32.3","36.69","177.327777559"
"2015.0","10.0","4.0","277.0","1473.14","0.08","0.6","0.0","3.53","0.6","2.13","0.23","0.23","0.0","0.0","95.71","142.49","569.98","284.99","474.26","427.48","0.0","","2016.0","1.0","1473.14","33.38","38.92","188.105671916"
"2015.0","10.0","5.0","278.0","1473.14","0.08","0.59","0.0","3.35","0.59","1.99","0.0","0.0","0.0","0.0","97.7","142.49","569.98","284.99","472.27","427.48","0.0","","2016.0","2.0","1473.14","59.73","46.02","222.420940945"
"2015.0","10.0","6.0","279.0","1473.14","0.08","0.58","0.0","3.36","0.58","1.96","0.0","0.0","0.0","0.0","99.66","142.49","569.98","284.99","470.31","427.48","0.0","","2016.0","3.0","1473.14","81.77","55.41","267.80409252"
"2015.0","10.0","7.0","280.0","1473.14","0.08","0.58","0.0","3.38","0.58","1.94","0.0","0.0","0.0","0.0","101.61","142.49","569.98","284.99","468.37","427.48","0.0","","2016.0","4.0","1473.14","127.51","66.31","320.485280184"
"2015.0","10.0","8.0","281.0","1473.14","0.08","0.57","0.0","3.48","0.57","1.97","0.0","0.0","0.0","0.0","103.58","142.49","569.98","284.99","466.4","427.48","0.0","","2016.0","5.0","1473.14","157.74","110.7","535.028208661"
"2015.0","10.0","9.0","282.0","1473.14","0.08","0.56","0.0","4.25","0.56","2.37","0.0","0.0","0.0","0.0","105.94","142.49","569.98","284.99","464.03","427.48","0.0","","2016.0","6.0","1473.14","200.31","159.96","773.108511811"
"2015.0","10.0","10.0","283.0","1473.14","0.08","0.55","0.0","4.01","0.55","2.2","0.0","0.0","0.0","0.0","108.14","142.49","569.98","284.99","461.83","427.48","0.0","","2016.0","7.0","1473.14","209.1","167.29","808.535402231"
"2015.0","10.0","11.0","284.0","1473.14","0.08","0.54","0.0","3.66","0.54","1.97","0.0","0.0","0.0","0.0","110.11","142.49","569.98","284.99","459.86","427.48","0.0","","2016.0","8.0","1473.14","184.75","147.81","714.385903543"
"2015.0","10.0","12.0","285.0","1473.14","0.08","0.53","0.0","3.68","0.53","1.95","0.0","0.0","0.0","0.0","112.06","142.49","569.98","284.99","457.91","427.48","0.0","","2016.0","9.0","1473.14","138.71","103.89","502.114549213"
"2015.0","10.0","13.0","286.0","1473.14","0.08","0.52","0.0","4.1","0.52","2.14","0.0","0.0","0.0","0.0","114.2","142.49","569.98","284.99","455.78","427.48","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1473.14","0.08","0.51","0.0","4.19","0.51","2.15","0.0","0.0","0.0","0.0","116.35","142.49","569.98","284.99","453.63","427.48","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1473.14","0.08","0.5","0.0","3.65","0.5","1.84","0.0","0.0","0.0","0.0","118.18","142.49","569.98","284.99","451.79","427.48","0.0","","","","","","",""
