" Daily soil water balance output for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Vineyard in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","10195.45","0.08","0.36","0.0","3.68","0.36","1.32","0.46","0.46","0.0","0.0","109.1","150.42","601.67","300.83","492.56","451.25","0.0","","2015.0","10.0","10195.45","108.61","11.05","369.618512139"
"2015.0","10.0","2.0","275.0","10195.45","0.08","0.35","0.0","4.58","0.35","1.6","0.02","0.02","0.0","0.0","110.69","150.42","601.67","300.83","490.98","451.25","0.0","","2015.0","11.0","10195.45","47.16","47.36","1584.17490814"
"2015.0","10.0","3.0","276.0","10195.45","0.08","0.0","0.0","4.53","0.08","0.37","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2015.0","12.0","10195.45","31.9","36.1","1207.53197178"
"2015.0","10.0","4.0","277.0","10195.45","0.08","0.0","0.0","3.67","0.08","0.3","0.82","0.82","0.0","0.0","30.83","31.35","601.67","300.83","570.84","570.32","0.0","","2016.0","1.0","10195.45","33.72","38.94","1302.52894685"
"2015.0","10.0","5.0","278.0","10195.45","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","31.12","31.35","601.67","300.83","570.55","570.32","0.0","","2016.0","2.0","10195.45","60.04","44.42","1485.83296916"
"2015.0","10.0","6.0","279.0","10195.45","0.08","0.0","0.0","3.48","0.08","0.29","0.0","0.0","0.0","0.0","31.4","31.35","601.67","300.83","570.27","570.32","0.0","","2016.0","3.0","10195.45","82.15","55.08","1842.40612205"
"2015.0","10.0","7.0","280.0","10195.45","0.08","0.0","0.0","3.38","0.08","0.28","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2016.0","4.0","10195.45","130.95","87.23","2917.81201936"
"2015.0","10.0","8.0","281.0","10195.45","0.08","0.0","0.0","3.47","0.08","0.29","0.0","0.0","0.0","0.0","31.64","31.35","601.67","300.83","570.03","570.32","0.0","","2016.0","5.0","10195.45","164.12","126.7","4238.06927493"
"2015.0","10.0","9.0","282.0","10195.45","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2016.0","6.0","10195.45","207.59","166.07","5554.9815666"
"2015.0","10.0","10.0","283.0","10195.45","0.08","0.0","0.0","4.21","0.08","0.34","0.0","0.0","0.0","0.0","31.69","31.35","601.67","300.83","569.97","570.32","0.0","","2016.0","7.0","10195.45","220.88","176.71","5910.88572671"
"2015.0","10.0","11.0","284.0","10195.45","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","2016.0","8.0","10195.45","195.62","149.52","5001.39003937"
"2015.0","10.0","12.0","285.0","10195.45","0.08","0.0","0.0","3.79","0.08","0.31","0.0","0.0","0.0","0.0","31.66","31.35","601.67","300.83","570.01","570.32","0.0","","2016.0","9.0","10195.45","143.85","73.3","2451.85854659"
"2015.0","10.0","13.0","286.0","10195.45","0.08","0.0","0.0","4.16","0.08","0.34","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","10195.45","0.08","0.0","0.0","4.3","0.08","0.35","0.0","0.0","0.0","0.0","31.7","31.35","601.67","300.83","569.97","570.32","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","10195.45","0.08","0.0","0.0","3.77","0.08","0.31","0.0","0.0","0.0","0.0","31.35","31.35","601.67","300.83","570.32","570.32","0.0","","","","","","",""
