" Daily soil water balance output for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Vineyard in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","1693.98","0.08","0.71","0.0","3.66","0.71","2.61","0.47","0.47","0.0","0.0","127.28","134.11","536.45","268.22","409.17","402.34","0.0","","2015.0","10.0","1693.98","107.84","64.85","360.415364173"
"2015.0","10.0","2.0","275.0","1693.98","0.08","0.71","0.0","4.58","0.71","3.23","0.0","0.0","0.0","0.0","130.51","134.11","536.45","268.22","405.94","402.34","0.0","","2015.0","11.0","1693.98","47.31","44.13","245.260293307"
"2015.0","10.0","3.0","276.0","1693.98","0.08","0.7","0.0","4.49","0.7","3.13","0.0","0.0","0.0","0.0","133.64","134.11","536.45","268.22","402.81","402.34","0.0","","2015.0","12.0","1693.98","31.35","34.63","192.462360236"
"2015.0","10.0","4.0","277.0","1693.98","0.08","0.69","0.0","3.72","0.69","2.56","0.83","0.83","0.0","0.0","0.0","134.11","536.45","268.22","536.45","402.34","135.38","","2016.0","1.0","1693.98","33.06","37.62","209.079814961"
"2015.0","10.0","5.0","278.0","1693.98","0.08","0.68","0.0","3.44","0.68","2.34","0.0","0.0","0.0","0.0","2.34","134.11","536.45","268.22","534.1","402.34","0.0","","2016.0","2.0","1693.98","59.04","43.89","243.926450787"
"2015.0","10.0","6.0","279.0","1693.98","0.08","0.67","0.0","3.47","0.67","2.34","0.0","0.0","0.0","0.0","4.68","134.11","536.45","268.22","531.77","402.34","0.0","","2016.0","3.0","1693.98","80.87","54.31","301.83744685"
"2015.0","10.0","7.0","280.0","1693.98","0.08","0.67","0.0","3.33","0.67","2.22","0.0","0.0","0.0","0.0","6.9","134.11","536.45","268.22","529.55","402.34","0.0","","2016.0","4.0","1693.98","130.44","77.4","430.164212598"
"2015.0","10.0","8.0","281.0","1693.98","0.08","0.66","0.0","3.41","0.66","2.24","0.0","0.0","0.0","0.0","9.14","134.11","536.45","268.22","527.31","402.34","0.0","","2016.0","5.0","1693.98","162.51","118.98","661.252429134"
"2015.0","10.0","9.0","282.0","1693.98","0.08","0.65","0.0","4.18","0.65","2.72","0.0","0.0","0.0","0.0","11.86","134.11","536.45","268.22","524.59","402.34","0.0","","2016.0","6.0","1693.98","202.95","162.37","902.400041339"
"2015.0","10.0","10.0","283.0","1693.98","0.08","0.64","0.0","4.12","0.64","2.65","0.0","0.0","0.0","0.0","14.51","134.11","536.45","268.22","521.94","402.34","0.0","","2016.0","7.0","1693.98","216.37","173.12","962.145070866"
"2015.0","10.0","11.0","284.0","1693.98","0.08","0.63","0.0","3.68","0.63","2.33","0.0","0.0","0.0","0.0","16.84","134.11","536.45","268.22","519.61","402.34","0.0","","2016.0","8.0","1693.98","191.21","152.98","850.213452756"
"2015.0","10.0","12.0","285.0","1693.98","0.08","0.63","0.0","3.76","0.63","2.35","0.0","0.0","0.0","0.0","19.19","134.11","536.45","268.22","517.25","402.34","0.0","","2016.0","9.0","1693.98","141.73","111.4","619.12523622"
"2015.0","10.0","13.0","286.0","1693.98","0.08","0.62","0.0","4.1","0.62","2.54","0.0","0.0","0.0","0.0","21.73","134.11","536.45","268.22","514.72","402.34","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","1693.98","0.08","0.61","0.0","4.27","0.61","2.61","0.0","0.0","0.0","0.0","24.34","134.11","536.45","268.22","512.11","402.34","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","1693.98","0.08","0.6","0.0","3.73","0.6","2.25","0.0","0.0","0.0","0.0","26.58","134.11","536.45","268.22","509.86","402.34","0.0","","","","","","",""
