" Daily soil water balance output for Walnuts in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","4478.58","0.08","0.0","0.0","3.59","0.08","0.3","2.27","2.27","0.0","0.0","22.21","24.3","491.66","245.83","469.45","467.36","0.0","","2015.0","10.0","4478.58","108.2","8.8","129.302834646"
"2015.0","10.0","2.0","275.0","4478.58","0.08","0.0","0.0","4.41","0.08","0.37","0.36","0.36","0.0","0.0","22.22","24.3","491.66","245.83","469.44","467.36","0.0","","2015.0","11.0","4478.58","47.2","46.86","688.537594488"
"2015.0","10.0","3.0","276.0","4478.58","0.08","0.0","0.0","4.46","0.08","0.37","0.0","0.0","0.0","0.0","22.59","24.3","491.66","245.83","469.07","467.36","0.0","","2015.0","12.0","4478.58","32.8","37.22","546.892216535"
"2015.0","10.0","4.0","277.0","4478.58","0.08","0.0","0.0","3.55","0.08","0.29","0.41","0.41","0.0","0.0","22.47","24.3","491.66","245.83","469.19","467.36","0.0","","2016.0","1.0","4478.58","34.3","39.6","581.862755906"
"2015.0","10.0","5.0","278.0","4478.58","0.08","0.0","0.0","3.41","0.08","0.28","0.0","0.0","0.0","0.0","22.76","24.3","491.66","245.83","468.9","467.36","0.0","","2016.0","2.0","4478.58","60.9","43.74","642.693862205"
"2015.0","10.0","6.0","279.0","4478.58","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","23.04","24.3","491.66","245.83","468.62","467.36","0.0","","2016.0","3.0","4478.58","83.8","56.17","825.334116142"
"2015.0","10.0","7.0","280.0","4478.58","0.08","0.0","0.0","3.44","0.08","0.28","0.0","0.0","0.0","0.0","23.33","24.3","491.66","245.83","468.34","467.36","0.0","","2016.0","4.0","4478.58","130.55","78.43","1152.41151378"
"2015.0","10.0","8.0","281.0","4478.58","0.08","0.0","0.0","3.53","0.08","0.29","0.0","0.0","0.0","0.0","23.62","24.3","491.66","245.83","468.04","467.36","0.0","","2016.0","5.0","4478.58","164.12","134.64","1978.33337008"
"2015.0","10.0","9.0","282.0","4478.58","0.08","0.0","0.0","4.37","0.08","0.36","0.0","0.0","0.0","0.0","23.98","24.3","491.66","245.83","467.68","467.36","0.0","","2016.0","6.0","4478.58","209.37","217.45","3195.1024311"
"2015.0","10.0","10.0","283.0","4478.58","0.08","0.0","0.0","4.22","0.08","0.35","0.0","0.0","0.0","0.0","24.32","24.3","491.66","245.83","467.34","467.36","0.0","","2016.0","7.0","4478.58","219.93","252.93","3716.42795079"
"2015.0","10.0","11.0","284.0","4478.58","0.08","0.0","0.0","3.82","0.08","0.31","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","2016.0","8.0","4478.58","194.47","208.18","3058.89364961"
"2015.0","10.0","12.0","285.0","4478.58","0.08","0.0","0.0","3.76","0.08","0.31","0.0","0.0","0.0","0.0","24.61","24.3","491.66","245.83","467.05","467.36","0.0","","2016.0","9.0","4478.58","143.12","71.42","1049.41005118"
"2015.0","10.0","13.0","286.0","4478.58","0.08","0.0","0.0","4.18","0.08","0.34","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","4478.58","0.08","0.0","0.0","4.25","0.08","0.35","0.0","0.0","0.0","0.0","24.65","24.3","491.66","245.83","467.01","467.36","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","4478.58","0.08","0.0","0.0","3.81","0.08","0.31","0.0","0.0","0.0","0.0","24.3","24.3","491.66","245.83","467.36","467.36","0.0","","","","","","",""
