" Daily soil water balance output for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output  for Walnuts in 186_Sacramento DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","108.53","0.08","1.02","0.0","3.68","1.02","3.74","0.46","0.46","0.0","0.0","0.0","123.07","492.27","246.14","492.27","369.21","125.75","","2015.0","10.0","108.53","108.61","99.71","35.50369521"
"2015.0","10.0","2.0","275.0","108.53","0.08","1.01","0.0","4.58","1.01","4.63","0.02","0.02","0.0","0.0","4.61","123.07","492.27","246.14","487.67","369.21","0.0","","2015.0","11.0","108.53","47.16","48.81","17.3797549213"
"2015.0","10.0","3.0","276.0","108.53","0.08","1.0","0.0","4.53","1.0","4.54","0.0","0.0","0.0","0.0","9.15","123.07","492.27","246.14","483.13","369.21","0.0","","2015.0","12.0","108.53","31.9","36.1","12.8541108924"
"2015.0","10.0","4.0","277.0","108.53","0.08","1.0","0.0","3.67","1.0","3.66","0.82","0.82","0.0","0.0","11.98","123.07","492.27","246.14","480.29","369.21","0.0","","2016.0","1.0","108.53","33.72","38.94","13.8653484252"
"2015.0","10.0","5.0","278.0","108.53","0.08","0.99","0.0","3.44","0.99","3.4","0.0","0.0","0.0","0.0","15.39","123.07","492.27","246.14","476.89","369.21","0.0","","2016.0","2.0","108.53","60.04","44.42","15.8166095801"
"2015.0","10.0","6.0","279.0","108.53","0.08","0.98","0.0","3.48","0.98","3.42","0.0","0.0","0.0","0.0","18.8","123.07","492.27","246.14","473.47","369.21","0.0","","2016.0","3.0","108.53","82.15","55.08","19.6123110236"
"2015.0","10.0","7.0","280.0","108.53","0.08","0.98","0.0","3.38","0.98","3.3","0.0","0.0","0.0","0.0","22.1","123.07","492.27","246.14","470.18","369.21","0.0","","2016.0","4.0","108.53","130.95","80.4","28.627992126"
"2015.0","10.0","8.0","281.0","108.53","0.08","0.97","0.0","3.47","0.97","3.36","0.0","0.0","0.0","0.0","25.46","123.07","492.27","246.14","466.82","369.21","0.0","","2016.0","5.0","108.53","164.12","121.3","43.1912368766"
"2015.0","10.0","9.0","282.0","108.53","0.08","0.96","0.0","4.25","0.96","4.08","0.0","0.0","0.0","0.0","29.54","123.07","492.27","246.14","462.73","369.21","0.0","","2016.0","6.0","108.53","207.59","190.84","67.9523136483"
"2015.0","10.0","10.0","283.0","108.53","0.08","0.95","0.0","4.21","0.95","4.02","0.0","0.0","0.0","0.0","33.56","123.07","492.27","246.14","458.72","369.21","0.0","","2016.0","7.0","108.53","220.88","242.4","86.3112598425"
"2015.0","10.0","11.0","284.0","108.53","0.08","0.95","0.0","3.76","0.95","3.56","0.0","0.0","0.0","0.0","37.12","123.07","492.27","246.14","455.15","369.21","0.0","","2016.0","8.0","108.53","195.62","224.97","80.1049675197"
"2015.0","10.0","12.0","285.0","108.53","0.08","0.94","0.0","3.79","0.94","3.56","0.0","0.0","0.0","0.0","40.68","123.07","492.27","246.14","451.59","369.21","0.0","","2016.0","9.0","108.53","143.85","159.69","56.8607470472"
"2015.0","10.0","13.0","286.0","108.53","0.08","0.93","0.0","4.16","0.93","3.88","0.0","0.0","0.0","0.0","44.56","123.07","492.27","246.14","447.71","369.21","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","108.53","0.08","0.93","0.0","4.3","0.93","3.98","0.0","0.0","0.0","0.0","48.55","123.07","492.27","246.14","443.73","369.21","0.0","","","","","","",""
"2015.0","10.0","15.0","288.0","108.53","0.08","0.92","0.0","3.77","0.92","3.46","0.0","0.0","0.0","0.0","52.01","123.07","492.27","246.14","440.26","369.21","0.0","","","","","","",""
