" Daily soil water balance output for Water Surface in 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Water Surface at 185_Alameda DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","53.5970745","0.09","1.1","0.0","3.44","1.1","3.784","2.41","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","53.5970745","104.89","115.379","20.288637988"
"2015.0","10.0","2.0","275.0","53.5970745","0.09","1.1","0.0","4.18","1.1","4.598","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","53.5970745","47.49","52.239","9.18588443178"
"2015.0","10.0","3.0","276.0","53.5970745","0.09","1.1","0.0","4.24","1.1","4.664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","53.5970745","32.87","36.157","6.3579705469"
"2015.0","10.0","4.0","277.0","53.5970745","0.09","1.1","0.0","3.5","1.1","3.85","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","53.5970745","33.62","36.982","6.50304136863"
"2015.0","10.0","5.0","278.0","53.5970745","0.09","1.1","0.0","3.32","1.1","3.652","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","53.5970745","60.2","66.22","11.6443512906"
"2015.0","10.0","6.0","279.0","53.5970745","0.09","1.1","0.0","3.33","1.1","3.663","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","53.5970745","82.55","90.805","15.9674617781"
"2015.0","10.0","7.0","280.0","53.5970745","0.09","1.1","0.0","3.4","1.1","3.74","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","53.5970745","126.43","139.073","24.455071988"
"2015.0","10.0","8.0","281.0","53.5970745","0.09","1.1","0.0","3.54","1.1","3.894","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","53.5970745","157.09","172.799","30.3855671802"
"2015.0","10.0","9.0","282.0","53.5970745","0.09","1.1","0.0","4.27","1.1","4.697","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","53.5970745","198.18","217.998","38.3335139332"
"2015.0","10.0","10.0","283.0","53.5970745","0.09","1.1","0.0","3.97","1.1","4.367","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","53.5970745","205.25","225.775","39.7010482127"
"2015.0","10.0","11.0","284.0","53.5970745","0.09","1.1","0.0","3.66","1.1","4.026","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","53.5970745","181.17","199.287","35.0433076965"
"2015.0","10.0","12.0","285.0","53.5970745","0.09","1.1","0.0","3.65","1.1","4.015","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","53.5970745","136.57","150.227","26.4164294977"
"2015.0","10.0","13.0","286.0","53.5970745","0.09","1.1","0.0","4.12","1.1","4.532","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","53.5970745","0.09","1.1","0.0","4.14","1.1","4.554","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
