" Daily soil water balance output for Water Surface in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Water Surface in 185_Contra Costa DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","14278.171689","0.1","1.1","0.0","3.46","1.1","3.806","1.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","14278.171689","105.96","116.556","5459.99533918"
"2015.0","10.0","2.0","275.0","14278.171689","0.1","1.1","0.0","4.33","1.1","4.763","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","14278.171689","47.33","52.063","2438.85975277"
"2015.0","10.0","3.0","276.0","14278.171689","0.1","1.1","0.0","4.32","1.1","4.752","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","14278.171689","32.26","35.486","1662.3202118"
"2015.0","10.0","4.0","277.0","14278.171689","0.1","1.1","0.0","3.54","1.1","3.894","0.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","14278.171689","33.39","36.729","1720.54779516"
"2015.0","10.0","5.0","278.0","14278.171689","0.1","1.1","0.0","3.35","1.1","3.685","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","14278.171689","59.71","65.681","3076.78672804"
"2015.0","10.0","6.0","279.0","14278.171689","0.1","1.1","0.0","3.37","1.1","3.707","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","14278.171689","81.78","89.958","4214.02811286"
"2015.0","10.0","7.0","280.0","14278.171689","0.1","1.1","0.0","3.38","1.1","3.718","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","14278.171689","127.93","140.723","6592.08384052"
"2015.0","10.0","8.0","281.0","14278.171689","0.1","1.1","0.0","3.48","1.1","3.828","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","14278.171689","159.02","174.922","8194.11531556"
"2015.0","10.0","9.0","282.0","14278.171689","0.1","1.1","0.0","4.27","1.1","4.697","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","14278.171689","201.87","222.057","10402.1258883"
"2015.0","10.0","10.0","283.0","14278.171689","0.1","1.1","0.0","4.04","1.1","4.444","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","14278.171689","211.34","232.474","10890.1039542"
"2015.0","10.0","11.0","284.0","14278.171689","0.1","1.1","0.0","3.68","1.1","4.048","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","14278.171689","186.51","205.161","9610.64298519"
"2015.0","10.0","12.0","285.0","14278.171689","0.1","1.1","0.0","3.7","1.1","4.07","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","14278.171689","139.31","153.241","7178.48198095"
"2015.0","10.0","13.0","286.0","14278.171689","0.1","1.1","0.0","4.11","1.1","4.521","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","14278.171689","0.1","1.1","0.0","4.21","1.1","4.631","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
