" Daily soil water balance output for Water Surface in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Water Surface in 185_San Joaquin DAU_Co within 06_San Joaquin River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","18128.710062","0.08","1.1","0.0","3.59","1.1","3.949","1.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","18128.710062","108.05","118.855","7069.18580846"
"2015.0","10.0","2.0","275.0","18128.710062","0.08","1.1","0.0","4.44","1.1","4.884","0.31","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","18128.710062","47.21","51.931","3088.72061099"
"2015.0","10.0","3.0","276.0","18128.710062","0.08","1.1","0.0","4.46","1.1","4.906","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","18128.710062","32.62","35.882","2134.16789516"
"2015.0","10.0","4.0","277.0","18128.710062","0.08","1.1","0.0","3.56","1.1","3.916","0.52","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","18128.710062","34.16","37.576","2234.92260266"
"2015.0","10.0","5.0","278.0","18128.710062","0.08","1.1","0.0","3.41","1.1","3.751","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","18128.710062","60.58","66.638","3963.45466244"
"2015.0","10.0","6.0","279.0","18128.710062","0.08","1.1","0.0","3.44","1.1","3.784","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","18128.710062","83.28","91.608","5448.605221"
"2015.0","10.0","7.0","280.0","18128.710062","0.08","1.1","0.0","3.42","1.1","3.762","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","18128.710062","130.43","143.473","8533.4003239"
"2015.0","10.0","8.0","281.0","18128.710062","0.08","1.1","0.0","3.51","1.1","3.861","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","18128.710062","163.71","180.081","10710.748808"
"2015.0","10.0","9.0","282.0","18128.710062","0.08","1.1","0.0","4.35","1.1","4.785","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","18128.710062","208.92","229.812","13668.6191495"
"2015.0","10.0","10.0","283.0","18128.710062","0.08","1.1","0.0","4.2","1.1","4.62","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","18128.710062","220.0","242.0","14393.5296424"
"2015.0","10.0","11.0","284.0","18128.710062","0.08","1.1","0.0","3.79","1.1","4.169","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","18128.710062","194.51","213.961","12725.8429579"
"2015.0","10.0","12.0","285.0","18128.710062","0.08","1.1","0.0","3.75","1.1","4.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","18128.710062","143.08","157.388","9361.02827834"
"2015.0","10.0","13.0","286.0","18128.710062","0.08","1.1","0.0","4.17","1.1","4.587","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","18128.710062","0.08","1.1","0.0","4.25","1.1","4.675","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
