" Daily soil water balance output for Water Surface in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","","","","","","","","","","","","","","","","","","","","Monthly output for Water Surface in 186_Solano DAU_Co within 05_Sacramento River for WY 2016","","","","",""
"Year","Mon","Day","DOY"," Area","OKc","IKc","CCKc","ETo","Kc","ETc","Pcp","Er","Spg","Espg","SWD","SWDx","FC","PWP","SWC"," YT ","NA","","Year","Mon"," Area","ETo","ETc","ETc"
" #  "," # "," # ","  #","Acres","   ","   ","    "," mm","mm"," mm"," mm","mm"," mm"," mm "," mm"," mm ","mm"," mm"," mm"," mm"," mm","","#  "," # "," Acres"," mm"," mm","acre-ft"
"2015.0","10.0","1.0","274.0","10851.2948385","0.08","1.1","0.0","3.57","1.1","3.927","0.47","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","10.0","10851.2948385","106.88","117.568","4185.58081225"
"2015.0","10.0","2.0","275.0","10851.2948385","0.08","1.1","0.0","4.49","1.1","4.939","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","11.0","10851.2948385","47.28","52.008","1851.55558386"
"2015.0","10.0","3.0","276.0","10851.2948385","0.08","1.1","0.0","4.41","1.1","4.851","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2015.0","12.0","10851.2948385","31.49","34.639","1233.19554433"
"2015.0","10.0","4.0","277.0","10851.2948385","0.08","1.1","0.0","3.66","1.1","4.026","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","1.0","10851.2948385","33.04","36.344","1293.89586486"
"2015.0","10.0","5.0","278.0","10851.2948385","0.08","1.1","0.0","3.41","1.1","3.751","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","2.0","10851.2948385","59.04","64.944","2312.09479"
"2015.0","10.0","6.0","279.0","10851.2948385","0.08","1.1","0.0","3.43","1.1","3.773","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","3.0","10851.2948385","80.78","88.858","3163.4657374"
"2015.0","10.0","7.0","280.0","10851.2948385","0.08","1.1","0.0","3.34","1.1","3.674","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","4.0","10851.2948385","129.33","142.263","5064.7564226"
"2015.0","10.0","8.0","281.0","10851.2948385","0.08","1.1","0.0","3.42","1.1","3.762","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","5.0","10851.2948385","160.97","177.067","6303.8261915"
"2015.0","10.0","9.0","282.0","10851.2948385","0.08","1.1","0.0","4.19","1.1","4.609","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","6.0","10851.2948385","201.42","221.562","7887.90875003"
"2015.0","10.0","10.0","283.0","10851.2948385","0.08","1.1","0.0","4.07","1.1","4.477","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","7.0","10851.2948385","213.62","234.982","8365.6790149"
"2015.0","10.0","11.0","284.0","10851.2948385","0.08","1.1","0.0","3.67","1.1","4.037","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","8.0","10851.2948385","188.25","207.075","7372.15183295"
"2015.0","10.0","12.0","285.0","10851.2948385","0.08","1.1","0.0","3.73","1.1","4.103","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","2016.0","9.0","10851.2948385","140.22","154.242","5491.22512625"
"2015.0","10.0","13.0","286.0","10851.2948385","0.08","1.1","0.0","4.09","1.1","4.499","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
"2015.0","10.0","14.0","287.0","10851.2948385","0.08","1.1","0.0","4.25","1.1","4.675","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","",""
